,,access,distance,from,hgv,highway,lanes,maxspeed,name,oneway,to,tunnel
261137167,261137168,,324.536041,261137167,,residential,,,South Kimbark Avenue,-1,261137168,
261137168,261137169,,200.721467,261137168,,residential,,,South Kimbark Avenue,-1,261137169,
261139498,261139500,,110.71888,261139498,,residential,,,East 58th Street,yes,261139500,
261139500,261139501,,133.833413,261139500,,residential,,,East 58th Street,yes,261139501,
261139501,261137171,,135.134332,261139501,,residential,,,East 58th Street,yes,261137171,
261137171,261139504,,134.30894,261137171,,residential,,,East 58th Street,yes,261139504,
5885767565,261139519,,97.36538,5885767565,,residential,,,East 58th Street,,261139519,
261139519,261139520,,103.834253,261139519,,residential,,,East 58th Street,,261139520,
261140629,261139501,yes,203.186967,261140629,,residential,,,South Kenwood Avenue,,261139501,
261141765,367760330,,86.724862,261141765,,residential,,,South Harper Avenue,no,367760330,
261148583,261148584,,160.24681,261148583,,residential,,,South Ingleside Avenue,-1,261148584,
261148584,261148585,,127.865336,261148584,,residential,,,South Ingleside Avenue,-1,261148585,
261148611,261148612,,201.76113,261148611,,residential,,,South Ingleside Avenue,,261148612,
261157995,261157996,,201.994957,261157995,,residential,,,South Drexel Avenue,yes,261157996,
261158000,261158001,,203.274644,261158000,,residential,,,South Drexel Avenue,,261158001,
261158001,261139520,,201.5654,261158001,,residential,,,South Drexel Avenue,,261139520,
261170719,261170720,,260.549178,261170719,,residential,,,South Ridgewood Court,yes,261170720,
261160194,261181124,,110.827603,261160194,,residential,,,East 54th Place,no,261181124,
261181124,261141742,,112.900703,261181124,,residential,,,East 54th Place,no,261141742,
261192049,261192050,yes,202.733127,261192049,,residential,,,South Maryland Avenue,,261192050,
261192050,367760220,yes,10.037049,261192050,,residential,,,South Maryland Avenue,,367760220,
261192512,261192511,,405.532751,261192512,,residential,,,South University Avenue,yes,261192511,
261192511,261192510,,202.905166,261192511,,residential,,,South University Avenue,yes,261192510,
261192510,3259301888,,187.120752,261192510,,residential,,,South University Avenue,yes,3259301888,
261198118,261198121,,94.632632,261198118,,secondary,,,East 55th Street,,261198121,
261207127,261202624,,36.705223,261207127,,secondary_link,,,,yes,261202624,
261185250,261202616,,284.957025,261185250,,secondary,,,Rainey Drive,,261202616,
261158033,261148585,,89.039468,261158033,,residential,,,East 55th Street,,261148585,
261148585,261176815,,126.414258,261148585,,residential,,,East 55th Street,,261176815,
261219407,261217405,,202.09234,261219407,,residential,,,South Langley Avenue,yes,261217405,
5545781680,261227633,,130.660012,5545781680,,secondary,,,East 55th Street,,261227633,
261227633,261137168,,134.590911,261227633,,secondary,,,East 55th Street,,261137168,
261137168,261140614,,127.873377,261137168,,secondary,,,East 55th Street,,261140614,
261359000,5710403580,,125.505124,261359000,,secondary,,,East 55th Street,yes,5710403580,
261207130,261242101,,48.417124,261207130,,residential,,,South Blackstone Avenue,yes,261242101,
261207136,261242103,,42.658888,261207136,,residential,,,South Blackstone Avenue,,261242103,
261160195,261242038,,110.995533,261160195,,residential,,,East Rochdale Place,,261242038,
261276584,261192049,,102.219671,261276584,,residential,,,East 56th Street,yes,261192049,
261192049,261158000,,99.268698,261192049,,residential,,,East 56th Street,yes,261158000,
261158000,261176760,,201.901687,261158000,,residential,,,East 56th Street,yes,261176760,
261176760,261192510,,268.307858,261176760,,residential,,,East 56th Street,yes,261192510,
261192510,261277228,,133.100128,261192510,,residential,,,East 56th Street,yes,261277228,
261277228,261137169,,134.932007,261277228,,residential,,,East 56th Street,yes,261137169,
261137169,261140615,,133.108498,261137169,,residential,,,East 56th Street,yes,261140615,
261140615,261160241,,135.364675,261140615,,residential,,,East 56th Street,yes,261160241,
261160241,261242099,,111.036469,261160241,,residential,,,East 56th Street,yes,261242099,
261217404,261266034,,202.102814,261217404,,residential,,,South Champlain Avenue,yes,261266034,
261158030,261148583,,89.414968,261158030,,residential,,,East 54th Street,yes,261148583,
261276582,261192054,,100.981878,261276582,,residential,,,East 54th Street,,261192054,
261192054,261158031,,101.386866,261192054,,residential,,,East 54th Street,,261158031,
261160243,261137172,,268.268286,261160243,,residential,,,East 59th Street,yes,261137172,
261137172,261286254,,135.137907,261137172,,residential,,,East 59th Street,yes,261286254,
261313716,261217303,,287.708024,261313716,,residential,,,South Greenwood Avenue,yes,261217303,
261358998,261227647,,44.216139,261358998,,secondary_link,,,,yes,261227647,
261227636,261358990,,52.228361,261227636,,secondary_link,,,,yes,261358990,
367760326,261141767,,40.373511,367760326,,residential,,,South Harper Avenue,no,261141767,
261140613,261170719,,68.392906,261140613,,residential,,,East 54th Street,no,261170719,
261170719,261160193,,71.465748,261170719,,residential,,,East 54th Street,no,261160193,
261160193,261242036,,112.10742,261160193,,residential,,,East 54th Street,no,261242036,
261140613,261140614,,321.774538,261140613,,residential,,,South Kenwood Avenue,-1,261140614,
261140614,261140615,,200.921939,261140614,,residential,,,South Kenwood Avenue,-1,261140615,
261176813,261176814,,160.381412,261176813,,residential,,,South Ellis Avenue,,261176814,
261176814,261176815,,126.246495,261176814,,residential,,,South Ellis Avenue,,261176815,
261176815,3259360444,,40.199848,261176815,,residential,,,South Ellis Avenue,,3259360444,
261198118,261202616,,101.03334,261198118,,secondary,,,Payne Drive,,261202616,
261202616,261185256,,284.93707,261202616,,tertiary,,,Payne Drive,,261185256,
261185256,386571657,,40.911326,261185256,,secondary,,,Payne Drive,,386571657,
386571657,261202623,,449.637534,386571657,,secondary,,,Payne Drive,,261202623,
261176763,261176765,,79.325198,261176763,,residential,,,South Ellis Avenue,,261176765,
261176765,261176766,,60.595286,261176765,,residential,,,South Ellis Avenue,,261176766,
712771004,712770993,,53.837044,712771004,,residential,2,,East 60th Street,,712770993,yes
269710868,261207130,,93.871084,269710868,,secondary,,,East Midway Plaisance,yes,261207130,
261207130,261160245,,112.767619,261207130,,secondary,,,East Midway Plaisance,yes,261160245,
261160245,261207129,,403.472763,261160245,,secondary,,,East Midway Plaisance,yes,261207129,
261207129,261176763,,402.516199,261207129,,secondary,,,East Midway Plaisance,yes,261176763,
261176763,261207128,,402.144129,261176763,,secondary,,,East Midway Plaisance,yes,261207128,
261266034,261219407,,98.343435,261266034,,tertiary,,,East 60th Street,,261219407,
261219407,5827236816,,206.337662,261219407,,tertiary,,,East 60th Street,,5827236816,
261221651,261207133,,59.086569,261221651,,tertiary,,,East Best Drive,yes,261207133,
261176766,261192484,,268.2436,261176766,,residential,2,,East 60th Street,,261192484,
261192484,261266042,,134.487313,261192484,,residential,2,,East 60th Street,,261266042,
261266042,261137187,,134.813449,261266042,,residential,2,,East 60th Street,,261137187,
261137187,1581591866,,133.943272,261137187,,residential,2,,East 60th Street,,1581591866,
1581591866,261160247,,134.960906,1581591866,,residential,2,,East 60th Street,,261160247,
261160249,261217411,,101.96173,261160249,,residential,,,East 61st Street,,261217411,
261141768,261141767,,405.516139,261141768,,residential,,,South Harper Avenue,yes,261141767,
1588218435,261139519,yes,140.484195,1588218435,,residential,,,South Maryland Avenue,,261139519,
261139519,261192051,yes,203.291187,261139519,,residential,,,South Maryland Avenue,,261192051,
1588218435,367760220,yes,50.898823,1588218435,,residential,,,South Maryland Avenue,,367760220,yes
261141741,261141742,,164.489483,261141741,,residential,,,South Harper Avenue,no,261141742,
261160239,261160241,,160.853181,261160239,,residential,,,South Dorchester Avenue,yes,261160241,
261160241,261160242,,202.757364,261160241,,residential,,,South Dorchester Avenue,yes,261160242,
261202625,261207133,,29.619608,261202625,,secondary,,,East Midway Plaisance,yes,261207133,
261160243,261160245,,64.177385,261160243,,residential,,,South Dorchester Avenue,,261160245,
261160245,261160246,,79.540782,261160245,,residential,,,South Dorchester Avenue,,261160246,
367760326,367760330,,75.678351,367760326,,residential,,,South Harper Avenue,yes,367760330,
367760330,367760326,,75.678351,367760330,,residential,,,South Harper Avenue,yes,367760326,
261160193,261160194,,164.096702,261160193,,residential,,,South Dorchester Avenue,yes,261160194,
261160194,261160195,,81.823552,261160194,,residential,,,South Dorchester Avenue,yes,261160195,
261160195,2287552804,,16.387507,261160195,,residential,,,South Dorchester Avenue,yes,2287552804,
2287552804,261160197,,20.214589,2287552804,,residential,,,South Dorchester Avenue,yes,261160197,
261148584,261176814,,126.041476,261148584,,residential,,,East 54th Place,,261176814,
261181131,261181130,,126.35174,261181131,,residential,,,East 54th Place,yes,261181130,
261170720,2287552804,,70.459742,261170720,,residential,,,,yes,2287552804,
261185250,261185256,,306.738587,261185250,,secondary,,,Morgan Drive,,261185256,
261202623,261202624,,45.789015,261202623,,secondary,,,Payne Drive,,261202624,
5827182221,261207134,,39.239747,5827182221,,secondary,2,,East Midway Plaisance,yes,261207134,
4332959689,261202625,,24.073528,4332959689,,secondary,4,,Payne Drive,,261202625,
261221651,261202625,,45.749307,261221651,,tertiary,,,East Best Drive,,261202625,
261207127,261202623,,51.887895,261207127,,secondary,,,East Midway Plaisance,yes,261202623,
261158030,261158031,,118.620604,261158030,,residential,,,South Drexel Avenue,,261158031,
261158031,261158033,,160.682475,261158031,,residential,,,South Drexel Avenue,,261158033,
261207128,4332959691,,58.049525,261207128,,secondary,2,,East Midway Plaisance,yes,4332959691,
5827236816,261217407,,202.215679,5827236816,,secondary,,,South Cottage Grove Avenue,no,261217407,
261207134,261176765,,402.65216,261207134,,secondary,,,East Midway Plaisance,yes,261176765,
261176765,261207135,,402.669734,261176765,,secondary,,,East Midway Plaisance,yes,261207135,
261207135,261160246,,403.574859,261207135,,secondary,,,East Midway Plaisance,yes,261160246,
261217407,261157996,,134.306062,261217407,,tertiary,,,East 61st Street,,261157996,
261157996,261148612,,134.43058,261157996,,tertiary,,,East 61st Street,,261148612,
261148612,261176767,,135.077383,261148612,,tertiary,,,East 61st Street,,261176767,
261176767,261217408,,133.020401,261176767,,tertiary,,,East 61st Street,,261217408,
261217408,261192485,,135.550161,261217408,,tertiary,,,East 61st Street,,261192485,
261192485,261217409,,133.600825,261192485,,tertiary,,,East 61st Street,,261217409,
261217409,261137156,,128.707054,261217409,,tertiary,,,East 61st Street,,261137156,
261137156,261140622,,136.86064,261137156,,tertiary,,,East 61st Street,,261140622,
261140622,261160249,,137.266949,261140622,,tertiary,,,East 61st Street,,261160249,
261217404,261217405,,98.379634,261217404,,tertiary,,,East 61st Street,,261217405,
261217405,261217406,,101.108798,261217405,,tertiary,,,East 61st Street,,261217406,
261217406,261217407,,104.67616,261217406,,tertiary,,,East 61st Street,,261217407,
261176813,1889253067,,64.569159,261176813,,residential,,,East 54th Street,yes,1889253067,
1889253067,261313716,,65.274051,1889253067,,residential,,,East 54th Street,yes,261313716,
261148583,261176813,,126.670653,261148583,,residential,,,East 54th Street,yes,261176813,
261313716,261192504,,128.688696,261313716,,residential,,,East 54th Street,yes,261192504,
261286251,261137167,,134.161769,261286251,,residential,,,East 54th Street,yes,261137167,
261192504,261286251,,127.621367,261192504,,residential,,,East 54th Street,yes,261286251,
261141767,261202785,,102.80853,261141767,,tertiary,,,East 57th Street,,261202785,
261202785,261160242,,111.078527,261202785,,tertiary,,,East 57th Street,,261160242,
261160242,261140629,,134.393802,261160242,,tertiary,,,East 57th Street,,261140629,
261140629,261137170,,134.028121,261140629,,tertiary,,,East 57th Street,,261137170,
261137170,261202782,,134.70863,261137170,,tertiary,,,East 57th Street,,261202782,
261202782,261192511,,133.938789,261202782,,tertiary,,,East 57th Street,,261192511,
261192511,261176761,,267.79427,261192511,,tertiary,,,East 57th Street,,261176761,
261176761,261158001,,202.25453,261176761,,tertiary,,,East 57th Street,,261158001,
261158001,261192050,,101.452833,261158001,,tertiary,,,East 57th Street,,261192050,
261192050,5885767569,,99.40079,261192050,,tertiary,,,East 57th Street,,5885767569,
5885767569,386571657,,148.250723,5885767569,,tertiary,,,East 57th Street,,386571657,
261286251,261181131,,161.724731,261286251,,tertiary,,,South Woodlawn Avenue,,261181131,
261181131,261227633,,162.325407,261181131,,tertiary,,,South Woodlawn Avenue,,261227633,
261227633,261277228,,201.060214,261227633,,tertiary,,,South Woodlawn Avenue,,261277228,
261277228,261202782,,202.550713,261277228,,tertiary,,,South Woodlawn Avenue,,261202782,
261202782,261139504,,203.88566,261202782,,tertiary,,,South Woodlawn Avenue,,261139504,
261139504,261286254,,201.60529,261139504,,tertiary,,,South Woodlawn Avenue,,261286254,
261160247,261242103,,93.069438,261160247,,residential,2,,East 60th Street,,261242103,
261242103,712771004,,74.638591,261242103,,residential,2,,East 60th Street,,712771004,
261160242,261139500,,203.787898,261160242,,residential,,,South Dorchester Avenue,yes,261139500,
261139500,261160243,,200.784233,261139500,,residential,,,South Dorchester Avenue,yes,261160243,
261242101,261139498,,198.246734,261242101,,residential,,,South Blackstone Avenue,yes,261139498,
261139498,261202785,,207.396101,261139498,,residential,,,South Blackstone Avenue,yes,261202785,
261202785,261242099,,202.91372,261202785,,residential,,,South Blackstone Avenue,yes,261242099,
261242099,261242097,,161.066355,261242099,,residential,,,South Blackstone Avenue,yes,261242097,
261242099,261141765,,107.685477,261242099,,residential,,,East 56th Street,yes,261141765,
261160243,261242101,,111.695229,261160243,,residential,,,East 59th Street,,261242101,
261242101,261141768,,86.655543,261242101,,residential,,,East 59th Street,,261141768,
261141768,3210082524,,6.95929,261141768,,residential,,,East 59th Street,,3210082524,
261176766,261176767,,201.54809,261176766,,residential,,,South Ellis Avenue,,261176767,
261176815,261217303,,129.935142,261176815,,residential,,,East 55th Street,,261217303,
261217303,367760230,,129.089995,261217303,,residential,,,East 55th Street,,367760230,
261276582,5827159307,,141.207195,261276582,,secondary,2,,South Cottage Grove Avenue,,5827159307,
261207134,5827236816,,60.709987,261207134,,secondary,4,,South Cottage Grove Avenue,no,5827236816,
261140614,1562381491,,63.695494,261140614,,secondary,,,East 55th Street,yes,1562381491,
261160239,261242097,,110.921712,261160239,,secondary,,,East 55th Place,yes,261242097,
261242097,261358998,,90.558486,261242097,,secondary,,,East 55th Place,yes,261358998,
261358998,261359000,,34.52605,261358998,,secondary,,,East 55th Place,yes,261359000,
5710403580,2287552797,,126.353435,5710403580,,secondary,,,East 55th Street,yes,2287552797,
261160197,261227636,,43.968818,261160197,,secondary,,,East 55th Street,yes,261227636,
261227636,261140614,,102.693088,261227636,,secondary,,,East 55th Street,yes,261140614,
3259360444,261176760,,199.507839,3259360444,,residential,,,South Ellis Avenue,,261176760,
261176760,261176761,,202.456569,261176760,,residential,,,South Ellis Avenue,,261176761,
261176761,261176762,,404.634981,261176761,,residential,,,South Ellis Avenue,,261176762,
261176762,261176763,,64.396828,261176762,,residential,,,South Ellis Avenue,,261176763,
261160246,261207136,,94.079299,261160246,,secondary,,,East Midway Plaisance,yes,261207136,
261207136,712771000,,81.230976,261207136,,secondary,,,East Midway Plaisance,yes,712771000,
261160247,261160249,,208.667282,261160247,,residential,,,South Dorchester Avenue,,261160249,
261160246,261160247,,53.344394,261160246,,residential,,,South Dorchester Avenue,,261160247,
261276586,261207128,,62.695826,261276586,,secondary,2,,South Cottage Grove Avenue,no,261207128,
261192512,261176762,,268.295363,261192512,,residential,,,East 59th Street,yes,261176762,
261176762,261192051,,305.498071,261176762,,residential,,,East 59th Street,yes,261192051,
3259360444,4829174283,,359.825492,3259360444,,secondary,,,East 55th Street,,4829174283,
3259301890,367760230,,24.971617,3259301890,,residential,,,South University Avenue,yes,367760230,
367760230,261181130,,125.831968,367760230,,residential,,,South University Avenue,yes,261181130,
261181130,261192504,,161.996389,261181130,,residential,,,South University Avenue,yes,261192504,
261176766,261148611,,134.564646,261176766,,residential,2,,East 60th Street,,261148611,
261148611,261157995,,134.440143,261148611,,residential,2,,East 60th Street,,261157995,
261157995,5827236816,,134.199685,261157995,,residential,2,,East 60th Street,,5827236816,
261286254,261207129,,63.953775,261286254,,tertiary,,,South Woodlawn Avenue,no,261207129,
261207129,261207135,,79.950596,261207129,,tertiary,,,South Woodlawn Avenue,no,261207135,
261207135,261266042,,55.611824,261207135,,tertiary,,,South Woodlawn Avenue,no,261266042,
261266042,261217409,,205.843528,261266042,,tertiary,,,South Woodlawn Avenue,no,261217409,
261286254,261192512,,134.104709,261286254,,residential,,,East 59th Street,yes,261192512,
5827159304,261276584,,144.042891,5827159304,,secondary,2,,South Cottage Grove Avenue,,261276584,
261276584,5827159301,,23.682754,261276584,,secondary,2,,South Cottage Grove Avenue,,5827159301,
261137169,261137170,,203.336724,261137169,,residential,,,South Kimbark Avenue,yes,261137170,
261137170,261137171,,203.122696,261137170,,residential,,,South Kimbark Avenue,yes,261137171,
261137171,261137172,,201.865931,261137171,,residential,,,South Kimbark Avenue,yes,261137172,
261192051,261276586,,96.701889,261192051,,residential,,,East 59th Street,,261276586,
4332959691,261207127,,11.687619,4332959691,,secondary,2,,East Midway Plaisance,yes,261207127,
261202624,4332959689,,11.547299,261202624,,secondary,,,Payne Drive,,4332959689,
4332957188,261207134,,25.861223,4332957188,,secondary,5,,South Cottage Grove Avenue,no,261207134,
261207128,4332959690,,25.905711,261207128,,secondary,5,,South Cottage Grove Avenue,no,4332959690,
4332959690,5827182220,,13.13641,4332959690,,secondary,5,,South Cottage Grove Avenue,no,5827182220,
4332972930,5885767565,,24.381981,4332972930,,secondary,3,,South Cottage Grove Avenue,no,5885767565,
4332972932,5827159295,,28.09919,4332972932,,secondary,3,,South Cottage Grove Avenue,,5827159295,
4332972929,261276586,,28.879842,4332972929,,secondary,3,,South Cottage Grove Avenue,no,261276586,
5885767569,4332972932,,39.516095,5885767569,,secondary,3,,South Cottage Grove Avenue,,4332972932,
5885767565,5827182224,,143.162912,5885767565,,secondary,2,,South Cottage Grove Avenue,no,5827182224,
4332972934,5885767569,,39.354492,4332972934,,secondary,3,,South Cottage Grove Avenue,,5885767569,
4332972944,261198121,,30.429332,4332972944,,secondary,4,,South Cottage Grove Avenue,,261198121,
261198121,4332972942,,29.091457,261198121,,secondary,4,,South Cottage Grove Avenue,,4332972942,
2287552797,261227647,,29.841386,2287552797,,secondary,,,East 55th Street,yes,261227647,
261227647,261227639,,92.642759,261227647,,secondary,,,East 55th Street,yes,261227639,
261227639,261160197,,110.950742,261227639,,secondary,,,East 55th Street,yes,261160197,
1562381491,261358990,,36.448779,1562381491,,secondary,,,East 55th Place,yes,261358990,
261358990,261160239,,49.135108,261358990,,secondary,,,East 55th Place,yes,261160239,
4829174283,261198121,,46.015818,4829174283,,secondary,,,East 55th Street,,261198121,
5545781680,3259301890,,11.308287,5545781680,,residential,,,South University Avenue,yes,3259301890,
3259301888,5545781680,,14.497677,3259301888,,residential,,,South University Avenue,yes,5545781680,
5827159295,4332972930,,108.094658,5827159295,,secondary,2,,South Cottage Grove Avenue,,4332972930,
5827159301,5827159300,,27.2466,5827159301,,secondary,3,,South Cottage Grove Avenue,,5827159300,
5827159299,4332972934,,64.873683,5827159299,,secondary,3,,South Cottage Grove Avenue,,4332972934,
5827159300,5827159299,,48.285175,5827159300,,secondary,3,,South Cottage Grove Avenue,,5827159299,
4332972942,5827159304,,29.601488,4332972942,,secondary,3,,South Cottage Grove Avenue,,5827159304,
5827159307,386571501,,26.09738,5827159307,,secondary,3,,South Cottage Grove Avenue,,386571501,
386571501,4332972944,,5.752555,386571501,,secondary,3,,South Cottage Grove Avenue,,4332972944,
5827182220,4332957188,,14.237579,5827182220,,secondary,5,,South Cottage Grove Avenue,no,4332957188,
5827182224,4332972929,,31.68271,5827182224,,secondary,3,,South Cottage Grove Avenue,no,4332972929,
261207133,5827182221,,34.577943,261207133,,secondary,2,,East Midway Plaisance,yes,5827182221,
261242036,261141741,,111.432633,261242036,,residential,,,East 54th Street,no,261141741,
261242036,261181124,,163.878287,261242036,no,residential,,,South Blackstone Avenue,no,261181124,
261181124,261242038,,81.771465,261181124,no,residential,,,South Blackstone Avenue,no,261242038,
261242038,261227639,,36.33416,261242038,no,residential,,,South Blackstone Avenue,no,261227639,
5545781680,5885767568,,136.847234,5545781680,,secondary,,,East 55th Street,,5885767568,
5885767568,3259360444,,131.173798,5885767568,,secondary,,,East 55th Street,,3259360444,
5072693316,5885767568,,64.068067,5072693316,,residential,,,South Greenwood Avenue,no,5885767568,
