,Hospitals,Federally Qualified Health Centers,School-Based Health Centers,All Free Health Clinics,Other Health Providers
17031010100,1195,200,1722,3140,2008
17031010201,1010,469,1791,2377,1907
17031010202,1401,396,1453,2705,1672
17031010300,1802,531,1377,3140,1746
17031010400,1407,921,979,2882,1317
17031010501,1665,428,993,2887,1362
17031010502,1334,594,540,2585,907
17031010503,1052,204,561,2536,592
17031010600,1654,524,428,2326,797
17031010701,1614,761,1156,1988,1272
17031010702,1851,598,921,2258,1075
17031020100,972,366,2052,2051,2159
17031020200,1616,1120,2817,1376,2924
17031020301,2578,1503,2647,951,2751
17031020302,1852,777,2088,1077,2195
17031020400,1518,380,1551,1572,1656
17031020500,2328,1220,1619,1149,1165
17031020601,2245,1493,2571,290,2257
17031020602,2387,1034,2077,583,1763
17031020701,1166,1134,1820,739,2917
17031020702,1933,1340,2531,684,2370
17031020801,1247,600,1700,390,2368
17031020802,1824,528,2081,461,1828
17031020901,2001,520,1584,931,1331
17031020902,1561,970,1146,1381,905
17031030101,292,1080,1033,2616,1474
17031030102,2066,898,1186,2660,1292
17031030103,356,701,1351,2884,1095
17031030104,479,589,1239,2910,983
17031030200,775,447,713,2157,564
17031030300,1291,914,862,1750,640
17031030400,1360,1417,644,1773,1158
17031030500,1067,1016,252,2016,1095
17031030601,393,1160,1007,2590,1554
17031030603,832,1297,739,2494,1583
17031030604,769,1522,1079,2834,1923
17031030701,1011,1155,864,2589,1688
17031030702,1045,971,1208,2933,1979
17031030703,1079,788,1264,2989,1899
17031030706,956,1075,1522,3247,2083
17031030800,913,1020,868,2593,1692
17031030900,713,1127,968,2287,1669
17031031000,177,651,972,2702,2119
17031031100,490,468,1253,3114,1650
17031031200,711,362,930,3459,1402
17031031300,598,838,1031,3852,1629
17031031400,825,966,1007,4875,1150
17031031501,324,321,362,4112,1065
17031031502,399,186,227,4244,666
17031031700,918,536,724,3585,1121
17031031800,588,415,1158,3043,1684
17031031900,908,644,807,3258,1464
17031032100,411,419,752,4493,159
17031040100,1734,1058,1327,1340,1826
17031040201,630,488,1124,1589,3243
17031040202,723,584,1221,901,2791
17031040300,339,351,1199,1488,3463
17031040401,994,932,685,1854,2897
17031040402,583,993,549,2265,2461
17031040600,1019,729,997,2259,2432
17031040700,508,273,1251,2091,3032
17031040800,260,655,1430,2413,2747
17031040900,731,440,1286,2441,2275
17031050100,1216,362,751,3143,1844
17031050200,878,195,1130,2823,2252
17031050300,439,663,1598,2882,2720
17031050500,1424,773,1233,3401,2353
17031050600,1578,724,814,3505,1928
17031050700,1842,1152,1236,3933,2323
17031050800,1992,1157,1522,3938,2609
17031050900,1720,1350,1806,3837,2381
17031051000,2014,1640,2093,4099,2097
17031051100,1948,1447,1805,4228,2379
17031051200,1662,1439,1519,4220,2537
17031051300,1473,1536,1953,4095,2109
17031051400,1813,1876,2292,3980,1994
17031060100,1146,976,436,3757,1270
17031060200,1342,648,459,3429,1552
17031060300,1512,1008,528,3789,1642
17031060400,1226,1157,532,4071,1356
17031060500,875,806,684,4328,999
17031060800,550,763,1320,5266,712
17031060900,932,1145,1702,5648,1094
17031061000,538,649,1354,4998,778
17031061100,811,742,1069,4713,941
17031061200,1093,1024,943,4507,1223
17031061500,1198,989,1222,4626,1470
17031061800,776,614,1726,5429,938
17031061901,1064,501,2111,5794,1323
17031061902,1430,1632,2264,6146,1592
17031062000,983,438,1948,5592,1298
17031062100,731,328,1650,5294,1343
17031062200,776,655,1620,5068,1522
17031062300,939,820,1513,4809,1738
17031062400,1222,1105,1255,4524,2022
17031062500,1379,1270,1250,4292,2295
17031062600,1186,1249,1677,4349,2363
17031062700,897,960,1608,4630,2440
17031062800,609,672,1815,4870,2170
17031062900,324,387,2069,5143,1950
17031063000,110,249,2194,5262,1828
17031063100,633,403,2181,5559,1668
17031063200,737,968,2701,6133,2019
17031063301,691,379,2589,5315,2035
17031063302,448,533,2748,5448,2162
17031063303,383,897,3074,5591,2392
17031063400,495,340,2312,5158,1867
17031070101,843,1377,3461,5746,2779
17031070102,773,668,2788,5016,2324
17031070103,1008,974,3063,4699,2618
17031070200,948,786,2765,4711,2320
17031070300,683,822,2624,4701,2388
17031070400,869,932,2419,4550,2495
17031070500,1155,1054,2312,4329,2594
17031070600,1426,1029,2196,4089,2312
17031070700,1873,1304,2459,3848,1956
17031071000,1409,550,2990,4010,2730
17031071100,1458,833,3182,4059,2943
17031071200,1444,1117,3233,4129,2887
17031071300,1384,1344,3442,4292,2997
17031071400,1297,1751,3897,5342,3329
17031071500,1811,1633,4243,4503,3974
17031071600,1804,934,3528,3880,3417
17031071700,2091,713,3323,3597,3704
17031071800,2101,593,3187,3541,3552
17031080100,1107,1086,3835,3996,4458
17031080201,1398,1133,3695,3892,4101
17031080202,1117,845,3462,3620,4234
17031080300,1555,883,3326,3571,4185
17031080400,1792,665,3024,3269,3883
17031081000,856,519,3036,3181,3795
17031081100,691,452,3196,3341,3955
17031081201,491,423,3251,3396,3987
17031081202,1007,1147,3913,4058,4672
17031081300,316,718,3604,3749,4192
17031081401,220,724,3454,3599,3913
17031081402,868,1513,3933,3994,4197
17031081403,789,1432,3844,3866,4069
17031081500,552,535,2904,3049,3432
17031081600,677,475,2796,2941,3423
17031081700,892,634,2576,2721,3299
17031081800,1094,798,2407,2552,3166
17031081900,1339,886,2367,2512,3126
17031090100,2847,6958,7687,7421,9125
17031090200,2117,6364,7451,7375,9079
17031090300,1380,6171,7292,7275,8979
17031100100,2618,4098,4918,5770,6848
17031100200,1965,4979,5773,5841,7545
17031100300,1059,4898,6270,6785,7997
17031100400,828,5583,7043,7687,8701
17031100500,1666,5277,6737,8193,8395
17031100600,1644,3874,5334,6790,6992
17031100700,1245,3653,5446,7013,7103
17031110100,3298,3607,4120,4872,6357
17031110200,2990,3105,4141,5447,5881
17031110300,2076,3036,4496,5902,6154
17031110400,2389,2467,3851,5664,5509
17031110501,3118,3100,3449,4763,5620
17031110502,2789,2771,3112,4990,5152
17031120100,3771,5167,5567,4831,6535
17031120200,4307,4353,4464,3735,5439
17031120300,3429,3057,3361,2708,4616
17031120400,3323,2992,2832,4167,5220
17031130100,2273,1901,2272,1552,3530
17031130200,2828,2836,2624,3036,5077
17031130300,1563,1575,1513,1339,3440
17031140100,933,414,406,2220,3889
17031140200,1301,494,271,2570,3959
17031140301,1934,984,898,3203,3952
17031140302,1801,1284,1072,3044,4257
17031140400,2644,2120,1916,3887,4447
17031140500,2205,1628,1201,3891,3751
17031140601,2120,1374,741,3672,3666
17031140602,1840,1085,452,3383,3603
17031140701,1524,503,332,2793,3667
17031140702,1371,817,272,3158,3394
17031140800,790,693,777,2560,3406
17031150200,2176,2158,2528,5351,3998
17031150300,1595,1577,3117,5901,4411
17031150401,1766,1748,3858,6118,5192
17031150402,1153,1135,3954,6701,4817
17031150501,1264,2345,4409,6645,5782
17031150502,1249,1695,4534,7263,5398
17031150600,577,559,4432,7226,4679
17031150700,830,812,3952,6761,4082
17031150800,1405,1387,3384,6207,3497
17031151001,1187,1169,4012,6222,3370
17031151002,1324,1617,3584,5942,2942
17031151100,750,732,4447,6579,3807
17031151200,505,487,4925,7025,4383
17031160100,2508,2316,1842,4567,4093
17031160200,1869,2425,1865,4688,3454
17031160300,1539,2203,1591,4522,3085
17031160400,1702,1729,1122,4054,3016
17031160501,1323,1021,553,3370,3030
17031160502,1567,1307,839,3656,2746
17031160601,675,1099,1180,2962,2986
17031160602,862,1458,1552,3204,2704
17031160700,1314,1811,1881,3687,2265
17031160800,1713,1730,1262,4079,2301
17031160900,1522,2284,1682,4616,2507
17031161000,962,2226,2153,5085,2543
17031161100,1135,2397,2574,5404,2720
17031161200,822,2090,3082,5455,2440
17031161300,379,1667,2641,5012,1997
17031170100,367,2949,5375,7931,6669
17031170200,1139,1121,5004,7798,5259
17031170300,783,2023,5880,8568,6220
17031170400,1391,2949,6475,9031,7146
17031170500,2261,3993,7345,9901,8162
17031170600,2586,3254,7670,9788,7659
17031170700,2323,3533,7317,9417,7288
17031170800,2027,3012,6989,9089,6823
17031170900,2262,3224,6485,8585,6326
17031171000,1363,1940,6059,8159,5860
17031171100,1084,1066,5404,7504,4964
17031180100,1455,2633,5621,7721,5422
17031190100,1432,1929,2935,5436,2438
17031190200,1839,1503,3350,5585,2861
17031190300,1325,927,3909,6004,3442
17031190401,1629,1611,4823,6923,4554
17031190402,1070,1052,4346,6446,3995
17031190601,1383,1493,4256,6356,4036
17031190602,1664,927,3778,5878,3469
17031190701,1738,548,3530,5625,3075
17031190702,2023,261,3243,5338,2794
17031190800,2403,929,2776,5011,2313
17031190900,2011,1358,2365,4865,1882
17031191000,2731,1472,1709,4208,2055
17031191100,3036,941,2292,4504,2371
17031191200,2501,315,2775,4870,2894
17031191301,1265,1503,3782,5901,4046
17031191302,1782,948,3191,5291,3491
17031200100,1048,1523,2515,5092,2008
17031200200,1523,878,1887,4484,1385
17031200300,1798,651,1507,4104,1093
17031200401,2284,1148,1515,4024,1587
17031200402,2012,812,894,3591,1251
17031210100,1871,2381,2326,4314,1894
17031210400,569,1159,2151,4879,1644
17031210501,544,1234,1919,4361,1346
17031210502,904,936,1541,4289,1030
17031210601,1144,1675,2245,4037,1309
17031210602,1282,1507,2077,3763,1141
17031210700,1710,2054,2615,3673,1072
17031210800,2032,2135,2776,3519,1028
17031210900,2338,2352,2857,3703,1245
17031220300,2000,1626,2360,2955,537
17031220400,2069,1602,2298,2986,327
17031220500,1783,1475,2012,3107,506
17031220601,1773,943,1501,3525,567
17031220602,1475,1157,1718,3567,782
17031220701,1522,413,1010,3945,432
17031220702,1200,450,1323,4281,816
17031220901,2060,738,400,3358,759
17031220902,1743,421,661,3619,443
17031221000,2063,937,862,3183,497
17031221100,2186,1076,1151,2941,786
17031221200,1998,1012,1473,2749,774
17031221300,1754,1060,1778,2457,600
17031221400,1637,1151,1997,2456,665
17031221500,1289,1254,1649,2373,875
17031221600,1313,1278,1673,2519,1268
17031222200,989,958,1353,2199,1317
17031222500,1443,663,1452,2118,1046
17031222600,1542,604,1165,2293,1112
17031222700,1767,665,832,2522,1219
17031222800,2039,945,543,2753,935
17031222900,2273,718,250,2990,967
17031230100,1230,321,1436,1981,1410
17031230200,1475,373,1099,2230,1503
17031230300,1751,657,812,2462,1222
17031230400,1772,354,703,2671,1384
17031230500,2211,512,1148,3110,2034
17031230600,1933,919,1542,2832,2442
17031230700,1324,755,1114,2223,1820
17031230800,1373,673,1336,2000,1766
17031230900,1145,475,1577,1881,1982
17031231100,1042,790,780,1574,2238
17031231200,747,1110,626,1921,2397
17031231500,236,414,266,1966,2877
17031240200,1337,1084,1633,2560,2229
17031240300,1049,1098,1447,2378,1940
17031240500,570,619,978,1904,1664
17031240600,602,559,954,1545,1428
17031240700,886,297,1238,1543,1301
17031240800,1231,414,1583,1885,1323
17031240900,532,473,1113,1376,1858
17031241000,654,328,1003,1283,1623
17031241100,369,282,540,1108,1863
17031241200,230,213,452,1380,2000
17031241300,548,562,709,1642,2161
17031241400,752,883,913,1842,2371
17031241500,1138,1208,1299,2226,2379
17031241600,1419,1292,1580,2348,2762
17031242000,1428,714,1459,1768,2382
17031242100,1140,451,1301,1654,2213
17031242200,858,733,1019,1368,2293
17031242300,573,795,734,1091,2361
17031242400,408,512,453,811,2577
17031242500,702,431,549,545,2449
17031242600,402,384,736,649,2214
17031242700,281,281,1241,774,2414
17031242800,1282,1057,1158,469,2588
17031242900,984,1018,1029,755,2021
17031243000,1147,809,1308,1043,1794
17031243100,1432,524,1125,1332,1724
17031243200,1401,237,840,1222,1639
17031243300,1686,616,1001,1310,1924
17031243400,1628,848,1099,1252,1866
17031243500,2131,1380,1687,1832,2446
17031250200,3205,1422,2301,4104,2939
17031250300,2666,1402,2447,4629,3464
17031250400,1751,1791,2908,5527,4334
17031250500,664,2846,4231,6904,5389
17031250600,1501,1531,2092,5189,4569
17031250700,2072,1610,1826,4609,3989
17031250800,2588,1912,2325,4099,3469
17031251000,2089,1921,1689,3380,3739
17031251100,1993,1505,1718,3738,4059
17031251200,1496,1029,1245,4262,4543
17031251300,927,957,1514,4821,5099
17031251400,489,519,938,4924,5669
17031251500,1052,443,659,4410,5118
17031251600,1560,948,1161,3937,4640
17031251700,1988,1376,1589,3570,4301
17031251800,2051,1074,1094,3354,4227
17031251900,1314,402,383,4056,4896
17031252000,1052,434,683,4666,5498
17031252101,587,587,1282,4345,4732
17031252102,731,731,1066,3883,4544
17031252201,1288,1288,1383,3384,4073
17031252202,1621,1621,1802,2767,3485
17031260100,835,452,1011,1867,3142
17031260200,1013,712,997,2156,3142
17031260300,1293,989,1277,2434,3365
17031260400,1593,1280,1577,2726,3641
17031260500,1873,1353,2165,2407,3056
17031260600,1540,1023,1835,2074,2797
17031260700,1240,725,1537,1774,2584
17031260800,951,441,1525,1485,2568
17031260900,1267,720,1903,1903,2108
17031261000,1713,1422,2234,2349,2561
17031270500,739,544,1691,1287,2839
17031271200,718,1288,1304,332,2062
17031271300,431,1006,1565,619,2349
17031271400,393,733,1691,926,2656
17031271500,608,306,1402,1312,2513
17031271800,994,1080,1041,794,1671
17031280100,1910,1634,1677,1780,2394
17031280400,1033,856,487,872,1084
17031280800,1282,446,519,857,1282
17031280900,1134,362,381,1059,1134
17031281900,1876,2064,1915,1508,2137
17031282700,920,991,905,1254,1104
17031282800,604,1030,902,1645,964
17031283100,408,715,640,1115,1039
17031283200,709,1016,931,1275,1330
17031283800,1750,1148,1426,981,1895
17031290900,2315,1077,1902,2951,1666
17031291200,1159,730,730,1983,1780
17031291600,414,486,1003,2100,1946
17031292200,1393,508,1143,2620,1233
17031292400,1674,256,1548,3041,806
17031292500,2265,847,1795,3619,1084
17031300500,1958,651,1830,3351,329
17031300600,1721,322,1621,3114,572
17031300700,1462,606,1467,2960,859
17031300800,1188,386,1291,2784,1147
17031300900,924,398,1071,2564,1434
17031301100,865,539,1311,2731,1789
17031301200,1135,400,1550,2953,2223
17031301600,2041,550,1799,3543,1280
17031301701,2248,319,1513,3641,704
17031301702,2542,610,1233,3935,997
17031301801,3032,1375,682,4416,1126
17031301802,2406,727,1256,3790,341
17031301803,2996,1168,799,4380,933
17031310200,2120,1273,1212,852,833
17031310300,2254,900,1035,1124,1114
17031310400,2007,673,858,1262,1358
17031310500,1963,558,632,1503,1373
17031310600,1598,193,447,1661,1774
17031310700,1340,252,301,1880,1972
17031310800,1190,408,401,2047,1796
17031310900,1393,778,842,2363,1682
17031320100,892,1385,2929,2883,3115
17031320400,1634,2144,2653,2582,2785
17031320600,2166,2422,2032,1961,2164
17031330100,1750,1750,1483,2163,1615
17031330200,1769,1769,859,1372,910
17031340300,1167,1167,1236,1882,982
17031340400,1017,1017,1107,2108,1040
17031340500,1622,701,1358,2604,974
17031340600,2185,1262,1040,3059,995
17031350100,1832,1625,1146,2898,1696
17031350400,803,803,989,2366,371
17031351000,1762,1476,1076,2720,1626
17031351100,2000,436,622,1945,774
17031351400,1730,761,525,2494,370
17031351500,1897,961,723,2715,590
