,Hospitals,Federally Qualified Health Centers,School-Based Health Centers,All Free Health Clinics,Other Health Providers
17031360200,2252,115,775,1626,1077
17031380100,1758,617,876,1310,1560
17031380200,1733,793,596,1627,1293
17031380500,2336,1576,779,2375,1196
17031380700,1590,1258,665,1655,1559
17031381200,772,406,954,1054,772
17031381400,966,925,521,1028,966
17031381500,1256,931,427,1320,1256
17031381700,1412,1165,488,1462,1412
17031381800,668,1195,798,726,668
17031381900,330,768,553,943,330
17031390100,2433,768,1809,1129,2433
17031390200,1690,383,1066,169,1690
17031390300,1444,604,820,462,1444
17031390400,862,331,238,717,862
17031390500,1150,619,526,438,1150
17031390600,1506,1025,932,841,1506
17031390700,2131,1702,1743,1450,2131
17031400300,888,684,1290,650,888
17031400400,1162,943,1578,528,1162
17031400500,1450,660,1661,719,1450
17031400800,1182,1456,2170,1231,1752
17031410100,2320,2033,1932,1781,2320
17031410200,1343,1256,955,1182,1343
17031410500,917,406,570,1326,917
17031410600,1201,690,853,1166,1201
17031410700,1454,974,1125,1353,1485
17031410800,1685,1242,1335,1556,1723
17031410900,2357,2073,2345,2308,2440
17031411000,1713,2200,2635,2702,2120
17031411100,1132,1547,2012,2190,1224
17031411200,978,1208,1687,1851,1089
17031420100,1273,1768,2862,3103,1400
17031420200,1019,1713,2205,2326,581
17031420300,780,1499,2016,2082,597
17031420400,493,1207,1839,1775,871
17031420500,812,1377,1804,1813,1025
17031420600,1085,1612,1845,1607,1309
17031420700,1313,1840,1280,2042,1087
17031420800,1071,1746,1311,2314,667
17031421200,1690,2255,926,2586,1456
17031430101,1015,373,2090,4357,2122
17031430102,1727,1187,2936,5500,3279
17031430200,1184,724,1656,4100,1688
17031430300,1269,1213,1190,3648,1234
17031430400,768,1230,869,3880,1763
17031430500,943,570,1361,4417,2118
17031430600,1317,362,1875,4936,2696
17031430700,1674,1120,2770,5447,3226
17031430800,1028,651,2078,5089,2951
17031430900,581,1077,1550,4561,2423
17031431200,590,1085,2270,5281,3322
17031431301,900,1417,3090,6007,3786
17031431302,1149,1226,2642,5611,3390
17031431400,2116,1613,3805,6482,4261
17031440101,1581,2860,1571,4351,3167
17031440102,2180,3459,2207,4985,3801
17031440201,2199,3478,1990,4198,3425
17031440202,2591,3668,2417,4678,3852
17031440300,2983,2887,2309,4020,4158
17031440600,3574,2636,3043,4899,4997
17031440700,3069,3342,2906,5171,4341
17031440800,2905,3463,2929,5648,4464
17031440900,3037,2928,3404,5669,4839
17031450300,1283,2106,2419,5430,3665
17031460100,2493,1573,4725,7537,5316
17031460200,1898,352,4148,7159,5132
17031460301,1679,1071,3757,6768,5003
17031460302,994,824,3351,6362,4449
17031460400,818,1000,2994,6005,4240
17031460500,625,1717,2454,5465,3700
17031460600,1181,865,3565,6576,4811
17031460700,1774,654,4158,7169,5404
17031461000,1468,542,4624,7635,5870
17031470100,2215,3272,3540,6318,4886
17031480100,1283,1806,3012,6023,4258
17031480200,2070,2640,2787,5798,4075
17031480300,1577,2344,3323,6334,4611
17031480400,742,1564,3631,6642,4877
17031480500,682,598,4107,7118,5353
17031490300,2994,2106,3462,5430,5571
17031490400,3005,2456,3852,6023,5287
17031490500,2745,2428,4351,6319,5814
17031490600,2240,1025,3650,5829,6630
17031490700,1647,1381,4217,6311,7112
17031490800,2048,2097,4697,6665,6487
17031490901,907,957,4282,7747,7676
17031490902,1494,1543,4821,7201,7098
17031491000,784,676,5076,7178,7979
17031491100,1323,1215,4573,6800,8241
17031491200,1061,951,4881,7664,9105
17031491300,493,383,4333,8037,8808
17031491400,838,367,3727,8244,8180
17031500100,2605,2981,4663,7426,6009
17031500200,2163,1840,4979,8223,7151
17031500300,1448,498,3764,8830,7939
17031510100,2038,1433,5447,8458,6693
17031510200,1458,1769,5116,8127,6362
17031510300,1503,2414,4707,7718,5953
17031520100,2679,1671,5904,8915,7150
17031520200,2734,1171,6016,9027,7262
17031520300,3636,509,7040,10051,8286
17031520400,3764,419,6989,10000,8235
17031520500,4512,1118,7217,10748,8983
17031520600,4462,910,6649,11019,9254
17031530100,1271,348,3532,8729,8751
17031530200,1350,1209,4402,8447,9621
17031530300,2431,2313,5347,8271,10023
17031530400,2856,3165,4947,9430,11150
17031530501,1986,1828,4053,9022,10227
17031530502,2539,2215,2900,10033,10607
17031530503,2878,2913,3490,9563,11196
17031530600,2099,1467,3101,9632,9853
17031540101,4736,1269,1356,12269,11737
17031540102,3564,1251,1812,10967,10371
17031550100,6524,1665,5080,13098,11333
17031550200,6493,2670,3578,13162,11397
17031560100,4520,839,2697,5547,3735
17031560200,4867,515,3044,5583,4082
17031560300,4984,533,3647,5123,4685
17031560400,5377,548,3554,4783,4456
17031560700,4985,1375,4519,5164,5677
17031560800,5110,664,5423,6034,6454
17031560900,3967,1074,6584,7195,7586
17031561000,4522,1075,6763,6674,7953
17031561100,5664,735,5616,5527,6910
17031570100,4953,1853,2625,4524,2949
17031570200,5129,1180,2801,4851,3125
17031570300,4860,333,2830,4180,3880
17031570400,4270,836,2127,3569,3654
17031570500,4534,294,3155,3854,4313
17031580100,2671,1026,1158,3437,3527
17031580200,2788,1625,758,3954,3091
17031580300,3313,1827,882,4349,3385
17031580400,3933,943,1208,3593,4005
17031580501,3318,1222,412,3344,3622
17031580502,3603,1016,840,3005,4050
17031580600,3356,1452,1010,2725,4207
17031580700,3695,1447,1349,2422,4432
17031580800,3816,1478,2058,1852,5024
17031590500,3234,485,1461,2762,3470
17031590600,3666,641,1893,2336,3320
17031590700,3674,1155,2387,2002,2828
17031600400,1696,1696,1711,2080,1332
17031600600,2301,1515,1279,2250,1518
17031600700,2658,1263,1385,2607,1875
17031600900,2627,1813,1664,2786,2054
17031610300,4467,1314,2194,1607,4159
17031610400,3910,444,2584,733,3910
17031610800,2358,667,1020,2302,2358
17031611000,2471,741,1826,1034,2471
17031611100,2936,604,2177,599,2936
17031611200,3222,336,2462,313,3222
17031611300,3509,300,2748,322,3509
17031611400,3793,584,3032,606,3793
17031611500,3923,878,2878,1157,4344
17031611600,3187,928,3212,616,4073
17031611700,3370,636,3415,327,3777
17031611800,3489,349,3263,541,3489
17031611900,3061,500,2835,692,3061
17031612000,2682,925,2456,1117,2682
17031612100,2405,1107,2179,1418,2405
17031620100,3774,1074,2698,3093,4338
17031620200,4110,608,3337,3430,4495
17031620300,3739,517,3153,3059,4949
17031620400,3027,372,2441,2347,4879
17031630100,2940,1122,2965,1324,4533
17031630200,2713,1170,2059,1967,4974
17031630300,3200,959,2453,2499,4724
17031630400,2517,1107,1910,1802,5395
17031630500,2441,1150,2444,1399,4823
17031630800,1938,1152,1331,1225,5895
17031630900,2479,1151,1881,1781,5428
17031640100,3775,1587,3192,3103,5998
17031640300,5585,1319,5030,4941,7496
17031640400,5676,1669,6183,6094,8551
17031640500,5545,2098,6053,5964,8980
17031640600,5191,1755,4892,4803,7927
17031640700,4136,2650,3727,3638,7055
17031640800,3230,2166,3028,3101,6577
17031650100,2480,935,1896,1802,5443
17031650200,3190,1082,2607,2518,5528
17031650301,2637,1654,2055,2508,6108
17031650302,1914,1152,1332,1786,6002
17031650400,2047,1929,1939,2562,6781
17031650500,3871,3853,4196,4801,8258
17031660301,1136,438,529,433,6164
17031660302,1428,730,821,725,6439
17031660400,1903,575,1308,1214,6000
17031660500,1331,573,748,1204,6565
17031660600,676,676,601,230,5947
17031660700,981,981,1169,1130,5502
17031660800,385,385,435,517,6191
17031660900,692,692,841,1400,6961
17031661000,1246,1246,1831,1952,6522
17031661100,1330,1330,1446,2038,7504
17031670100,2471,1183,3275,1197,3455
17031670200,2734,935,3408,912,3739
17031670300,3018,927,3138,628,4023
17031670400,2787,1095,2853,629,4309
17031670500,2259,526,2284,991,4861
17031670600,2207,1094,2294,1208,4776
17031670700,2472,1377,2579,1206,4490
17031670800,2185,1492,2850,1488,4203
17031670900,1905,1212,3129,1212,3923
17031671100,2137,1464,2529,1464,4178
17031671200,2008,1841,2095,1855,4572
17031671300,1548,1548,1887,1688,4919
17031671400,1279,1279,1605,1406,5207
17031671500,1584,1584,2268,2259,5097
17031671600,2005,1243,2397,2010,4646
17031671800,2817,1543,1623,2418,4773
17031671900,2630,1682,1751,2587,4964
17031672000,1998,1878,2318,2680,5545
17031680500,2186,1461,3020,1485,3170
17031680600,1611,918,3069,918,3629
17031680900,516,603,2681,603,2820
17031681000,1212,795,2629,809,3516
17031681100,1737,457,2049,1364,3860
17031681200,1132,545,2426,1103,3240
17031681300,1800,1026,2025,1604,3745
17031681400,2302,1021,1473,1930,4247
17031690300,991,1109,1888,1590,2702
17031690400,1430,1596,1335,2029,2149
17031690500,1945,2197,842,2544,1979
17031690900,1719,2396,815,2991,2233
17031691000,1994,2148,1387,2593,2725
17031691100,1506,1581,1921,2105,3146
17031691200,2123,2012,1784,2581,3763
17031691300,2225,2693,1941,3161,3287
17031691400,1653,2924,1369,3572,2804
17031691500,1129,2400,1049,3925,2741
17031700100,1950,1950,2450,2656,7397
17031700200,3231,3647,3850,4442,8155
17031700301,2500,4054,4280,4872,8562
17031700302,1892,4230,4367,4959,9078
17031700401,2760,2893,3009,3601,8610
17031700402,2531,3510,3657,4249,9179
17031700501,2201,1926,2910,3515,7571
17031700502,1709,2082,3133,4255,8242
17031710100,2528,1536,1377,2286,4365
17031710200,2945,1665,962,2574,4789
17031710300,3102,1013,1225,3146,5395
17031710400,2572,1247,1801,3254,5972
17031710500,3055,877,1454,3738,6345
17031710600,3610,663,885,3650,5788
17031710700,3898,723,444,3527,5624
17031710800,3512,1230,383,3153,5209
17031710900,3283,1605,1222,3426,4923
17031711000,3853,1250,888,3652,5699
17031711100,3296,677,1103,4178,6271
17031711200,2972,590,1645,4286,6825
17031711300,2482,1046,2064,4916,6876
17031711400,3285,1488,1223,4232,5984
17031711500,3929,1578,1930,4134,5587
17031720100,1671,1933,2928,5074,7684
17031720200,2189,1535,3633,6275,8027
17031720300,1448,2156,4108,6001,8648
17031720400,1332,2945,4917,6276,9437
17031720500,1678,3587,5621,6980,10079
17031720600,2245,2901,4963,6810,9393
17031720700,2969,2121,4232,6861,8613
17031730100,3331,983,2512,4716,6169
17031730201,2458,1691,2080,4990,6742
17031730202,2902,1316,1961,4476,6228
17031730300,2178,1461,2454,5358,7175
17031730400,2621,801,2582,5278,7030
17031730500,2453,528,3465,5689,7081
17031730600,2834,927,3290,5919,7671
17031730700,2290,1496,3859,6488,8240
17031740100,2369,4630,6626,7218,11122
17031740200,2548,4898,6570,7162,11390
17031740300,3161,5363,7147,7739,11957
17031740400,3656,6283,7997,8589,12941
17031750100,1886,1776,4504,7133,8885
17031750200,3038,2928,5089,7653,9470
17031750300,2321,3843,5954,7400,10335
17031750400,2702,3919,6234,8070,10615
17031750500,2407,3041,5566,8195,9947
17031750600,1919,1809,5062,7691,9443
17031760801,3216,6716,8504,9876,10162
17031760802,3524,4687,8608,11164,9425
17031760803,3137,6081,8144,9600,9802
17031770602,5377,10644,12882,12941,14540
17031770902,3176,5291,7834,9337,9470
17031810400,1664,6017,7477,8523,9135
17031821402,2102,3830,4422,10139,11859
17031823304,3313,5268,7583,8415,11964
17031830500,3422,1583,1094,4806,1418
17031830600,1755,874,521,2199,556
17031830700,1454,1299,1182,4276,1578
17031830800,1027,863,1213,2784,1932
17031830900,1957,1922,2317,3163,1177
17031831000,1178,1227,1580,2512,1812
17031831100,853,1849,2144,4588,1573
17031831200,2401,684,756,3348,1642
17031831300,2811,1438,2075,3710,2961
17031831400,940,940,1853,3830,3805
17031831500,1006,1807,4566,6666,4350
17031831600,711,2354,4926,7026,4897
17031831700,1548,2090,2783,5613,3133
17031831800,1303,1302,1079,2137,4214
17031831900,1578,1416,830,4203,1897
17031832000,884,726,1362,5006,1014
17031832100,323,310,1177,4821,563
17031832200,1450,1407,1852,2773,1532
17031832300,2096,1075,2453,3380,1964
17031832400,991,721,1343,1694,1078
17031832500,1825,449,2789,3673,2276
17031832600,1932,556,2921,3587,3109
17031832900,497,1209,1134,749,804
17031833000,1358,1569,863,982,1596
17031833100,1027,1841,1096,682,1282
17031833300,1116,1428,1390,1368,1423
17031833900,1596,478,4363,7374,5609
17031834000,3072,1621,3206,5174,6023
17031834200,333,1418,1586,4597,2696
17031834300,1244,2523,1860,4871,3106
17031834400,1407,2101,1736,2714,300
17031834500,1349,802,1803,1050,1781
17031834600,998,950,2277,1091,2374
17031834700,1779,1092,2602,1092,2744
17031834800,1242,549,3163,549,3260
17031834900,1853,957,2394,1454,4092
17031835000,1427,496,1449,672,5657
17031835100,2008,439,2028,1251,5185
17031835200,5346,972,3922,4666,5080
17031835500,2312,1317,1023,2353,1738
17031835600,1201,755,985,1236,1201
17031835700,1766,1360,550,1831,1725
17031835800,1243,911,891,1308,1243
17031835900,1945,1185,378,1957,903
17031836000,1119,530,1148,926,1119
17031836100,546,1273,1094,563,546
17031836200,520,782,1297,1406,1159
17031836300,880,794,492,1076,880
17031836400,2602,720,1755,1081,2259
17031836500,2508,1042,1581,1666,1602
17031836600,695,425,1160,1203,2521
17031836700,944,666,1276,1079,2932
17031836800,843,513,1066,1397,3149
17031836900,909,950,1684,741,2493
17031837000,1080,1004,1085,120,1845
17031837100,1524,1099,1627,700,2379
17031837300,767,759,1026,926,2107
17031837400,1225,897,842,598,1379
17031837800,1445,430,706,1224,1445
17031838000,762,682,211,1061,762
17031838100,482,1146,760,461,521
17031838200,425,553,848,1308,627
17031838300,1286,946,2841,2986,3600
17031838600,811,959,681,943,1975
17031838700,1618,373,1198,2382,1491
17031838800,5135,4818,6519,11443,9838
17031839000,2423,2238,1591,1312,1642
17031839100,1689,1486,2430,1966,2481
17031839200,591,591,446,2762,724
17031839500,1340,347,678,2585,525
17031839600,1853,700,340,2209,470
17031839700,2974,1762,2157,3118,2025
17031839800,2263,1349,2006,2671,1586
17031839900,3154,1731,2038,2832,1986
17031840000,2214,1293,1878,2706,1291
17031840100,1418,1418,1434,1803,1055
17031840200,1804,1804,1582,1935,1203
17031840300,2775,525,1783,3289,3332
17031840400,3074,691,1796,2618,2555
17031840700,597,341,1144,2427,2188
17031840800,1768,322,1871,3364,1564
17031841000,518,518,407,2416,955
17031841100,1333,1333,556,1263,177
17031841200,1099,666,552,2659,1978
17031841300,1902,689,1470,3523,2856
17031841400,1184,661,1084,2577,1122
17031841500,922,963,486,1770,1895
17031841600,648,841,700,2193,1516
17031841700,593,786,725,2218,1730
17031841800,1443,1548,357,3238,1914
17031841900,1788,1598,1699,718,1672
17031842000,1169,288,903,2930,584
17031842100,1181,1549,686,2569,3311
17031842200,2162,549,2536,2783,3397
17031842300,1876,1136,2037,2552,3166
17031842400,3276,2348,1770,3596,4843
17031842500,1056,1394,2066,1394,2206
17031842600,3409,985,2071,1823,2759
17031842800,3425,560,1459,2442,4669
17031842900,776,493,585,1856,1205
17031843000,1451,774,1686,2097,1876
17031843100,591,755,178,1583,2115
17031843200,2169,1155,882,2681,2445
17031843300,397,204,879,1709,1588
17031843400,2265,743,1358,3649,680
17031843500,1862,1003,1865,3692,2477
17031843600,682,404,474,1050,682
17031843700,1724,1685,2149,3956,2369
17031843800,1682,808,1456,1552,1682
17031843900,562,1024,2471,3866,1603
17031980000,7480,9106,13191,13812,14827
17031980100,5872,2174,5125,5192,6283
