geoid10,commarea,Pop2014,Pov14,lat,lon
17031842400,44,5157,769,        41.7424752,       -87.6300405
17031840300,59,5881,1021,        41.8320943,       -87.6818817
17031841100,34,3363,2742,        41.8510059,       -87.6350978
17031841200,31,3710,1819,        41.8555620,       -87.6833422
17031838200,28,3296,361,        41.8704160,       -87.6750801
17031650301,65,5744,759,        41.7749275,       -87.7299916
17031530503,53,5147,1640,        41.6637654,       -87.6373017
17031760803,76,7343,1877,        41.9753494,       -87.8441594
17031540102,54,3268,1789,        41.6673589,       -87.6054130
17031540101,54,3922,2724,        41.6501877,       -87.5994991
17031440201,44,5343,1604,        41.7482103,       -87.6100751
17031839000,32,5898,1250,        41.8710444,       -87.6314049
17031030601,77,3538,1045,        41.9887189,       -87.6572690
17031030604,77,2961,515,        41.9855320,       -87.6538542
17031020801,2,4512,788,        41.9868083,       -87.6944152
17031843300,29,3652,762,        41.8637636,       -87.6925498
17031080202,8,3533,159,        41.9058608,       -87.6309027
17031070102,7,2656,272,        41.9305837,       -87.6422038
17031031501,3,3430,1526,        41.9672850,       -87.6524494
17031031502,3,4386,1394,        41.9636331,       -87.6523665
17031834900,67,3335,1161,        41.7722942,       -87.6567342
17031834800,68,5554,836,        41.7836303,       -87.6450879
17031160502,16,4568,562,        41.9555845,       -87.7130885
17031140702,14,6252,1605,        41.9635481,       -87.7135750
17031842000,35,7989,146,        41.8349601,       -87.6251706
17031150402,15,3695,423,        41.9567977,       -87.7720431
17031834400,42,4342,1051,        41.7769450,       -87.5963101
17031040201,4,6195,1100,        41.9725805,       -87.6940006
17031040202,4,6691,1660,        41.9798549,       -87.6940960
17031020702,2,8232,1486,        41.9943625,       -87.7049915
17031020802,2,7942,2070,        41.9940593,       -87.6946308
17031020301,2,5239,380,        42.0068652,       -87.7051864
17031838700,29,5504,2412,        41.8625772,       -87.7201844
17031841500,29,5079,1497,        41.8616228,       -87.7079137
17031838600,29,2361,608,        41.8678232,       -87.7008234
17031837300,27,4802,731,        41.8716194,       -87.7055531
17031837800,28,4698,1009,        41.8847497,       -87.6841266
17031837400,27,4542,795,        41.8759751,       -87.6938021
17031836900,27,6468,511,        41.8818831,       -87.7061363
17031020601,2,6697,1381,        42.0008746,       -87.7018023
17031020602,2,4102,1075,        42.0013154,       -87.6936368
17031020302,2,4651,455,        42.0085407,       -87.6949635
17031020902,2,4195,720,        41.9942499,       -87.6786969
17031010701,1,3946,565,        42.0091480,       -87.6786201
17031030103,77,2238,389,        41.9953881,       -87.6573072
17031030102,77,2956,511,        41.9934388,       -87.6574269
17031010502,1,3690,1540,        42.0045171,       -87.6633275
17031010503,1,2228,848,        42.0003206,       -87.6631280
17031010702,1,5274,2003,        42.0090199,       -87.6727255
17031837100,27,2744,508,        41.8856737,       -87.6987210
17031837000,27,6052,1082,        41.8783241,       -87.6986754
17031010201,1,7083,2321,        42.0160075,       -87.6801485
17031020901,2,5013,1386,        41.9942356,       -87.6860851
17031040401,4,2836,341,        41.9720664,       -87.6860809
17031210602,21,4126,1065,        41.9341665,       -87.7125721
17031160501,16,4498,743,        41.9592099,       -87.7129734
17031191302,19,5088,1179,        41.9202290,       -87.7705335
17031190602,19,5265,500,        41.9275607,       -87.7707377
17031840200,60,7491,521,        41.8445749,       -87.6491917
17031530501,53,5192,1991,        41.6742779,       -87.6321658
17031831400,25,3716,691,        41.8691185,       -87.7560878
17031831300,25,3310,335,        41.9077660,       -87.7442589
17031833000,28,5421,320,        41.8852883,       -87.6572425
17031760801,76,4399,999,        41.9834823,       -87.8448305
17031020701,2,1893,393,        41.9868915,       -87.7036895
17031010501,1,3831,813,        42.0094117,       -87.6639580
17031252101,25,1787,443,        41.8754876,       -87.7695723
17031252102,25,5888,2210,        41.8765922,       -87.7598114
17031252202,25,4871,1678,        41.8767587,       -87.7445838
17031220601,22,1596,250,        41.9258252,       -87.7128837
17031210502,21,4909,1310,        41.9337840,       -87.7220510
17031220602,22,4690,1117,        41.9293312,       -87.7119814
17031220901,22,3297,1394,        41.9191817,       -87.7212485
17031220902,22,3325,800,        41.9227110,       -87.7218354
17031200401,20,3814,779,        41.9198286,       -87.7375421
17031200402,20,4033,1066,        41.9196347,       -87.7296787
17031191301,19,5941,1348,        41.9201522,       -87.7802655
17031190601,19,4777,1191,        41.9274145,       -87.7804604
17031190701,19,3072,325,        41.9297960,       -87.7614218
17031190702,19,5090,1225,        41.9261632,       -87.7610398
17031190401,19,4183,570,        41.9347279,       -87.7809528
17031190402,19,4642,1050,        41.9348596,       -87.7712318
17031832100,6,4622,631,        41.9528221,       -87.6532427
17031843800,61,6713,533,        41.8016568,       -87.6404755
17031842800,58,8507,2421,        41.8075337,       -87.6983042
17031833300,28,5349,966,        41.8716912,       -87.6541246
17031832900,28,3872,927,        41.8741753,       -87.6618907
17031838000,28,2319,1466,        41.8773643,       -87.6806502
17031838100,28,5269,485,        41.8786652,       -87.6716806
17031833100,28,5830,1002,        41.8790766,       -87.6570450
17031839100,32,5729,717,        41.8810269,       -87.6327465
17031030706,77,3460,415,        41.9800058,       -87.6529457
17031150401,15,4805,773,        41.9645680,       -87.7722654
17031150501,15,3743,265,        41.9644757,       -87.7819599
17031842900,28,6834,972,        41.8631386,       -87.6729381
17031841900,28,2992,693,        41.8678923,       -87.6429687
17031843000,29,5326,1553,        41.8679348,       -87.7227523
17031842100,23,7838,2329,        41.8952787,       -87.7336103
17031080201,8,3235,212,        41.9094988,       -87.6310061
17031070101,7,3988,654,        41.9292773,       -87.6358824
17031063301,6,2626,599,        41.9345408,       -87.6430241
17031063303,6,1157,54,        41.9347271,       -87.6346742
17031081201,8,4552,396,        41.8991540,       -87.6262125
17031081202,8,3221,222,        41.9022469,       -87.6240828
17031040402,4,4701,411,        41.9725451,       -87.6788183
17031220702,22,4426,1134,        41.9293688,       -87.7242316
17031842200,8,7962,396,        41.9049339,       -87.6498857
17031842300,24,6138,540,        41.9022010,       -87.6560666
17031843700,5,5594,201,        41.9448264,       -87.6907876
17031835000,66,4182,2276,        41.7828494,       -87.6860490
17031835100,63,5174,1162,        41.7901579,       -87.6862486
17031834700,68,2785,1148,        41.7906903,       -87.6450334
17031151001,15,2538,972,        41.9423826,       -87.7543525
17031151002,15,4685,895,        41.9424916,       -87.7471551
17031160602,16,3983,581,        41.9560931,       -87.7006352
17031140601,14,2969,480,        41.9646472,       -87.7258909
17031140701,14,2385,259,        41.9670374,       -87.7126524
17031140602,14,5614,1046,        41.9646525,       -87.7210174
17031140301,14,2748,428,        41.9692049,       -87.7231682
17031841800,69,3815,784,        41.7663066,       -87.5994214
17031842500,69,2957,1766,        41.7769501,       -87.6232150
17031842600,61,9358,1200,        41.8162185,       -87.6516948
17031843500,30,12552,415,        41.8382146,       -87.6967546
17031843400,29,4988,392,        41.8493269,       -87.7320210
17031843200,31,6194,770,        41.8474395,       -87.6633945
17031140302,14,4472,994,        41.9725485,       -87.7237891
17031110501,11,4636,242,        41.9770023,       -87.7619249
17031110502,11,3646,688,        41.9702868,       -87.7598508
17031760802,76,2401,321,        41.9578337,       -87.8471625
17031150502,15,4290,647,        41.9567785,       -87.7818415
17031843100,29,3376,594,        41.8607500,       -87.7007121
17031834300,45,5444,1149,        41.7458447,       -87.5917741
17031843900,42,2643,943,        41.7761582,       -87.5799470
17031831200,20,6231,1353,        41.9153190,       -87.7322507
17031831600,18,2598,926,        41.9256106,       -87.7976150
17031831500,19,5266,321,        41.9276420,       -87.7880226
17031831100,21,2593,1333,        41.9428560,       -87.7174960
17031831700,15,5050,430,        41.9526516,       -87.7452567
17031440202,44,3604,1054,        41.7409601,       -87.6097624
17031440102,44,3156,1182,        41.7409358,       -87.6011639
17031430102,43,3414,849,        41.7685908,       -87.5657834
17031030603,77,2048,677,        41.9854775,       -87.6584005
17031030701,77,1734,368,        41.9827439,       -87.6579630
17031840800,30,5952,1054,        41.8408332,       -87.7073715
17031836300,41,6465,234,        41.8015321,       -87.6017580
17031838300,8,4535,461,        41.9015668,       -87.6384044
17031839800,60,7462,330,        41.8350678,       -87.6431631
17031836600,23,6715,463,        41.8986972,       -87.7088057
17031730202,73,3479,706,        41.7264117,       -87.6485419
17031980100,56,7363,0,        41.7859901,       -87.7509613
17031030702,77,1460,124,        41.9806994,       -87.6548426
17031430101,43,3913,1041,        41.7698263,       -87.5739527
17031063302,6,4186,321,        41.9347649,       -87.6398543
17031836200,41,1329,47,        41.7904691,       -87.6012844
17031840100,60,7773,405,        41.8418689,       -87.6392019
17031580502,58,4893,1259,        41.8145616,       -87.6993099
17031841400,29,6621,647,        41.8533100,       -87.7144108
17031081401,8,2516,288,        41.8950391,       -87.6197535
17031081403,8,7004,492,        41.8910878,       -87.6004301
17031030703,77,2579,457,        41.9788745,       -87.6578700
17031836000,38,2904,898,        41.8140033,       -87.6116838
17031835800,38,6676,502,        41.8130467,       -87.6187200
17031835900,38,6888,1697,        41.8201663,       -87.6214987
17031834500,40,3334,711,        41.7880826,       -87.6247365
17031843600,38,2469,753,        41.8067658,       -87.6089496
17031834600,68,5475,1402,        41.7872468,       -87.6343059
17031831800,13,2157,919,        41.9782334,       -87.7164531
17031832600,7,4342,405,        41.9147488,       -87.6540544
17031061901,6,3785,428,        41.9432369,       -87.6434604
17031839700,60,4450,1521,        41.8330799,       -87.6523573
17031839900,60,9166,665,        41.8271228,       -87.6487065
17031835200,56,5453,278,        41.7966436,       -87.7452866
17031838800,51,3331,1386,        41.6835098,       -87.5723191
17031833900,46,6308,1001,        41.7318648,       -87.5477992
17031836800,27,5105,1246,        41.8850448,       -87.7138624
17031836700,23,4718,917,        41.8917040,       -87.7021747
17031832200,22,3454,243,        41.9204788,       -87.6799746
17031831000,22,3363,8,        41.9147865,       -87.6769967
17031832400,22,3017,620,        41.9157412,       -87.6922567
17031660301,66,1790,737,        41.7799537,       -87.6982865
17031660302,66,5554,1245,        41.7835960,       -87.6983932
17031252201,25,3007,1135,        41.8766960,       -87.7521055
17031070103,7,1679,260,        41.9268112,       -87.6426057
17031220701,22,3459,851,        41.9261553,       -87.7215649
17031834000,49,3590,758,        41.7275361,       -87.6294988
17031834200,43,4893,1624,        41.7555677,       -87.5836072
17031835500,37,1457,522,        41.8163542,       -87.6325419
17031839500,35,6327,299,        41.8340970,       -87.6192886
17031839200,35,6197,493,        41.8420107,       -87.6220360
17031840400,59,3606,1078,        41.8338477,       -87.6676792
17031841000,33,5000,135,        41.8486735,       -87.6206320
17031301802,30,2897,770,        41.8451849,       -87.7277598
17031730201,73,5824,1497,        41.7268299,       -87.6579108
17031580501,58,5059,1409,        41.8199863,       -87.6994969
17031700302,70,5686,792,        41.7383650,       -87.7313060
17031700402,70,3840,449,        41.7382304,       -87.7118236
17031700401,70,6261,583,        41.7455371,       -87.7120355
17031830500,30,3163,1014,        41.8300677,       -87.7238668
17031841700,30,7009,742,        41.8531299,       -87.7041813
17031841600,29,4320,556,        41.8553774,       -87.7076038
17031840700,30,2658,1887,        41.8529306,       -87.6942672
17031841300,31,4487,1410,        41.8440836,       -87.6830312
17031301801,30,4246,1655,        41.8416627,       -87.7350483
17031530502,53,1495,302,        41.6652550,       -87.6267069
17031071400,7,4357,681,        41.9220939,       -87.6341489
17031071600,7,1715,173,        41.9164737,       -87.6411853
17031832300,22,4605,168,        41.9192067,       -87.6714484
17031832500,7,6735,826,        41.9218779,       -87.6641188
17031832000,6,4805,413,        41.9462943,       -87.6542986
17031030104,77,3688,712,        41.9971618,       -87.6574887
17031030101,77,3727,900,        41.9912339,       -87.6573079
17031160601,16,3999,511,        41.9595311,       -87.7021481
17031210501,21,4569,748,        41.9374022,       -87.7223321
17031210601,21,3066,455,        41.9376351,       -87.7122129
17031700502,70,3001,204,        41.7388523,       -87.6887680
17031836100,40,7204,615,        41.7998049,       -87.6186823
17031836400,36,6477,825,        41.8204396,       -87.6006999
17031836500,36,1614,818,        41.8276193,       -87.6042465
17031839600,35,6725,419,        41.8274416,       -87.6192504
17031840000,60,5046,391,        41.8311663,       -87.6382986
17031835600,37,7385,405,        41.8018355,       -87.6322016
17031830800,4,5860,170,        41.9651413,       -87.6765774
17031460301,46,2639,885,        41.7400276,       -87.5563641
17031301701,30,3744,1111,        41.8424809,       -87.7196261
17031310400,31,1426,192,        41.8565086,       -87.6522647
17031530100,53,2091,842,        41.6818522,       -87.6179392
17031081100,8,3657,605,        41.9002069,       -87.6291096
17031150700,15,4621,505,        41.9495913,       -87.7619574
17031640100,64,1230,98,        41.7820950,       -87.7399966
17031081300,8,5053,363,        41.8983315,       -87.6207616
17031301702,30,3694,1582,        41.8388056,       -87.7195231
17031700301,70,5796,1207,        41.7456225,       -87.7317117
17031490902,49,4825,740,        41.7032797,       -87.6153255
17031490901,49,4215,1264,        41.6960582,       -87.6162676
17031650302,65,4148,615,        41.7750951,       -87.7177488
17031831900,6,4583,155,        41.9451691,       -87.6687909
17031830900,22,5237,292,        41.9286299,       -87.6853733
17031830700,3,2590,1219,        41.9609726,       -87.6591713
17031830600,1,4733,1170,        42.0016983,       -87.6735744
17031700501,70,7871,344,        41.7462133,       -87.6903425
17031460302,46,3506,1596,        41.7470862,       -87.5573903
17031431302,43,3401,1258,        41.7583854,       -87.5627859
17031431301,43,3421,1525,        41.7535304,       -87.5601869
17031440101,44,3747,1285,        41.7486354,       -87.6013955
17031301803,30,5054,1948,        41.8395495,       -87.7278704
17031310200,31,1526,293,        41.8563083,       -87.6442086
17031310300,31,1493,337,        41.8561399,       -87.6489806
17031310500,31,1722,686,        41.8552246,       -87.6547515
17031510300,51,6037,1556,        41.7157378,       -87.5749726
17031491400,49,2698,943,        41.6891232,       -87.6168213
17031500200,50,2091,815,        41.7008560,       -87.6003021
17031530200,53,4893,2625,        41.6815614,       -87.6323958
17031740100,74,2805,116,        41.6972868,       -87.6986083
17031140500,14,4121,651,        41.9653613,       -87.7318306
17031140800,14,7209,1256,        41.9644944,       -87.7027756
17031150200,15,7821,1457,        41.9606749,       -87.7524130
17031150300,15,7526,874,        41.9605180,       -87.7622856
17031300900,30,3963,1945,        41.8481798,       -87.7026996
17031301100,30,3182,1284,        41.8470200,       -87.6979637
17031301200,30,3518,1348,        41.8484174,       -87.6914775
17031740400,74,4809,275,        41.6872391,       -87.7193120
17031640300,64,6947,268,        41.7815323,       -87.7716358
17031640600,64,4432,901,        41.7760365,       -87.7714292
17031010400,1,4730,582,        42.0047747,       -87.6591290
17031020400,2,4294,530,        42.0084867,       -87.6859122
17031160300,16,3877,941,        41.9572683,       -87.7308959
17031310700,31,1241,402,        41.8559895,       -87.6649043
17031071500,7,5710,465,        41.9146011,       -87.6316840
17031071700,7,1813,152,        41.9128666,       -87.6410717
17031071800,7,2670,173,        41.9145853,       -87.6459655
17031670500,67,1040,381,        41.7865782,       -87.6764043
17031670600,67,1636,727,        41.7830055,       -87.6715772
17031670700,67,1547,618,        41.7830682,       -87.6667306
17031670800,67,1688,773,        41.7831442,       -87.6618790
17031670900,67,1496,433,        41.7832124,       -87.6570219
17031671100,67,1486,912,        41.7767819,       -87.6617125
17031671200,67,1063,536,        41.7767000,       -87.6665838
17031671300,67,2190,937,        41.7739011,       -87.6713483
17031671400,67,1864,654,        41.7737923,       -87.6762290
17031671500,67,3254,1362,        41.7681720,       -87.6696317
17031671600,67,2291,949,        41.7694999,       -87.6615118
17031230500,23,3710,1077,        41.9117236,       -87.7339495
17031230600,23,6933,2683,        41.9061888,       -87.7339948
17031240600,24,1340,291,        41.9121614,       -87.6897095
17031241000,24,2036,551,        41.9079980,       -87.6945348
17031191000,19,2901,824,        41.9192302,       -87.7438018
17031080300,8,4480,543,        41.9074898,       -87.6357982
17031300800,30,4674,1846,        41.8481109,       -87.7075819
17031650200,65,7628,1516,        41.7822224,       -87.7302265
17031660500,66,5702,1802,        41.7752437,       -87.7079438
17031221400,22,2799,473,        41.9208025,       -87.6945345
17031161000,16,1726,169,        41.9499763,       -87.7306821
17031340600,34,1066,733,        41.8274178,       -87.6325399
17031670100,67,1601,600,        41.7904934,       -87.6572077
17031240500,24,2154,129,        41.9119697,       -87.6836359
17031240700,24,1427,506,        41.9121159,       -87.6945966
17031240800,24,1816,414,        41.9121051,       -87.6994808
17031240900,24,1236,212,        41.9047422,       -87.7018837
17031241100,24,4015,871,        41.9066673,       -87.6895820
17031770602,76,5640,954,        42.0050886,       -87.9016069
17031770902,76,4936,238,        41.9657795,       -87.8440787
17031835700,38,5512,248,        41.8128443,       -87.6275976
17031190300,19,5445,644,        41.9349862,       -87.7614629
17031190800,19,6881,1471,        41.9278183,       -87.7513617
17031190900,19,1864,394,        41.9279226,       -87.7441049
17031191100,19,7936,1960,        41.9196293,       -87.7509762
17031191200,19,3975,1382,        41.9201432,       -87.7608270
17031080100,8,6657,469,        41.9075474,       -87.6267963
17031080400,8,4907,2472,        41.9074120,       -87.6409030
17031081000,8,7427,1428,        41.9002651,       -87.6321080
17031150600,15,3868,418,        41.9494732,       -87.7717580
17031301600,30,4513,1691,        41.8407574,       -87.7122524
17031750300,75,2657,72,        41.6953914,       -87.6861731
17031750100,75,4411,1187,        41.6958345,       -87.6520283
17031740200,74,6307,254,        41.7047013,       -87.7127062
17031650400,65,7284,1697,        41.7653249,       -87.7171805
17031650500,65,4163,794,        41.7622541,       -87.7320576
17031660600,66,6164,2491,        41.7772870,       -87.6933402
17031020500,2,6004,1383,        42.0013131,       -87.6841987
17031221100,22,4810,1365,        41.9210211,       -87.7103620
17031221300,22,2762,681,        41.9211256,       -87.6997539
17031221500,22,2574,384,        41.9216464,       -87.6899504
17031221600,22,3118,402,        41.9212496,       -87.6850960
17031160800,16,5388,341,        41.9502131,       -87.7128145
17031160900,16,2272,159,        41.9500823,       -87.7226086
17031161100,16,2026,139,        41.9498773,       -87.7381516
17031161200,16,2664,243,        41.9425488,       -87.7385697
17031161300,16,3943,577,        41.9426997,       -87.7310028
17031330200,33,3756,471,        41.8613414,       -87.6305355
17031420600,42,2056,1319,        41.7830133,       -87.6132772
17031420700,42,3050,1363,        41.7766914,       -87.6106932
17031661000,66,5717,1533,        41.7618185,       -87.6850444
17031640400,64,3653,302,        41.7811782,       -87.7912471
17031640500,64,3183,224,        41.7756823,       -87.7909784
17031640700,64,3235,402,        41.7764110,       -87.7519346
17031640800,64,1772,251,        41.7748245,       -87.7397427
17031650100,65,4510,902,        41.7823765,       -87.7178568
17031010100,1,4189,1212,        42.0175073,       -87.6693691
17031020100,2,3990,733,        42.0157196,       -87.6871154
17031151200,15,3680,257,        41.9421689,       -87.7714952
17031310800,31,4734,883,        41.8559339,       -87.6685740
17031660400,66,5975,1709,        41.7825319,       -87.7080436
17031670400,67,1858,909,        41.7902995,       -87.6717693
17031340400,34,1740,746,        41.8418849,       -87.6320349
17031420800,42,2292,964,        41.7769096,       -87.6032565
17031421200,42,1707,657,        41.7706570,       -87.6089662
17031661100,66,6029,1295,        41.7607872,       -87.7026879
17031222500,22,1424,281,        41.9157082,       -87.6995977
17031222800,22,1014,447,        41.9154340,       -87.7150935
17031230300,23,1170,328,        41.9118179,       -87.7149901
17031351500,35,415,130,        41.8272740,       -87.6277457
17031381500,38,250,81,        41.8101920,       -87.6228605
17031190200,19,5694,1376,        41.9351138,       -87.7516492
17031390600,39,1976,201,        41.8060180,       -87.5943502
17031010300,1,6213,1432,        42.0159358,       -87.6665524
17031010600,1,6513,999,        42.0062785,       -87.6676832
17031020200,2,6255,977,        42.0156901,       -87.6995189
17031150800,15,5451,455,        41.9497085,       -87.7521179
17031151100,15,5391,1019,        41.9422904,       -87.7617177
17031160100,16,2626,199,        41.9646285,       -87.7427952
17031160200,16,3822,121,        41.9587911,       -87.7384022
17031160400,16,5090,1461,        41.9573655,       -87.7228232
17031310600,31,5141,1868,        41.8563348,       -87.6595656
17031310900,31,5065,1481,        41.8557713,       -87.6746734
17031320400,32,2523,70,        41.8774187,       -87.6219607
17031320600,32,4451,730,        41.8706408,       -87.6221345
17031740300,74,4436,42,        41.6950698,       -87.7107156
17031660700,66,2677,1159,        41.7738454,       -87.6810956
17031221200,22,3065,420,        41.9210828,       -87.7046493
17031160700,16,6008,1051,        41.9504189,       -87.7019831
17031222200,22,1964,105,        41.9159093,       -87.6838257
17031330100,33,17582,1547,        41.8592677,       -87.6173275
17031340300,34,1734,413,        41.8428075,       -87.6357888
17031340500,34,1688,534,        41.8345183,       -87.6329171
17031350400,35,1379,981,        41.8419285,       -87.6283682
17031750500,75,6369,1524,        41.6846302,       -87.6712400
17031750400,75,3187,118,        41.6856953,       -87.6850652
17031750200,75,2875,203,        41.6956646,       -87.6714244
17031430200,43,4927,2273,        41.7697314,       -87.5813483
17031660800,66,6517,2264,        41.7736412,       -87.6932656
17031660900,66,4357,1985,        41.7681040,       -87.6979987
17031670200,67,985,359,        41.7904247,       -87.6620626
17031670300,67,1381,710,        41.7903578,       -87.6669169
17031222600,22,1554,258,        41.9156383,       -87.7044786
17031222700,22,2660,778,        41.9154911,       -87.7101919
17031222900,22,878,263,        41.9155645,       -87.7200747
17031230100,23,1646,471,        41.9120288,       -87.7043685
17031230200,23,1972,540,        41.9118820,       -87.7100948
17031230400,23,2666,639,        41.9118324,       -87.7215406
17031170400,17,3720,579,        41.9489083,       -87.8127111
17031380700,38,1216,329,        41.8138058,       -87.6237675
17031381900,38,1293,369,        41.8039569,       -87.6138909
17031390200,39,1637,374,        41.8130411,       -87.5994767
17031171000,17,7949,657,        41.9418071,       -87.7965238
17031180100,18,5918,929,        41.9344787,       -87.7986728
17031390300,39,2909,1222,        41.8132011,       -87.6042099
17031390500,39,1643,280,        41.8059782,       -87.5991988
17031390700,39,6142,1116,        41.8058872,       -87.5874735
17031400300,40,1329,436,        41.7931042,       -87.6131838
