,BLOCKID10,CE01_2014,POP10,lat,long,community
4,170313902002004,6,68,41.815784,-87.6015047,KENWOOD
4,170313902002005,4,50,41.815809,-87.6009251,KENWOOD
4,170313903002006,6,43,41.8159018,-87.6063027,KENWOOD
4,170313903002004,89,161,41.8159234,-87.6050559,KENWOOD
4,170313903002002,0,1,41.8159434,-87.6036271,KENWOOD
4,170313903002000,27,62,41.8159575,-87.60220679999998,KENWOOD
4,170313902002001,6,64,41.815979,-87.6003193,KENWOOD
4,170313902002000,2,69,41.815982,-87.599703,KENWOOD
4,170313903002001,-1,0,41.81619420000001,-87.6028853,KENWOOD
4,170313903002005,-1,0,41.816222,-87.60577579999998,KENWOOD
4,170313902002002,-1,0,41.8167039,-87.6009114,KENWOOD
4,170313902002003,-1,0,41.8167128,-87.6015558,KENWOOD
4,170313907002007,14,170,41.8051524,-87.59123120000002,KENWOOD
4,170313907001013,-1,0,41.8051672,-87.5833254,KENWOOD
4,170313907001017,14,157,41.8052011,-87.5850684,KENWOOD
4,170313907001012,-1,0,41.8052737,-87.58289549999998,KENWOOD
4,170313907001018,-1,0,41.8054102,-87.5843897,KENWOOD
4,170313907002005,-1,0,41.805846,-87.589639,KENWOOD
4,170313907001008,150,856,41.80660870000001,-87.5866949,KENWOOD
4,170313907002003,5,47,41.8066579,-87.5914109,KENWOOD
4,170313907002004,32,463,41.806799100000006,-87.590355,KENWOOD
4,170313907001015,0,2,41.8068243,-87.5859566,KENWOOD
4,170313907001009,-1,0,41.806876,-87.5860459,KENWOOD
4,170313905001004,8,84,41.8069011,-87.5980012,KENWOOD
4,170313906002000,6,70,41.8069227,-87.59597459999998,KENWOOD
4,170313906001006,7,82,41.80693660000001,-87.5943517,KENWOOD
4,170313906001005,47,156,41.8069591,-87.5927454,KENWOOD
4,170313907001010,-1,0,41.8070274,-87.5858374,KENWOOD
4,170313907001011,-1,0,41.8072005,-87.5854811,KENWOOD
4,170313907002002,27,462,41.8076434,-87.5911558,KENWOOD
4,170313905001005,1,17,41.8079741,-87.59719059999998,KENWOOD
4,170313906001003,2,26,41.8081495,-87.5935098,KENWOOD
4,170313906001002,7,31,41.8082855,-87.5929227,KENWOOD
4,170313906001004,-1,0,41.8083232,-87.5922971,KENWOOD
4,170313907001004,3,29,41.8083292,-87.58980859999998,KENWOOD
4,170313907002001,8,45,41.8083442,-87.5914474,KENWOOD
4,170313907001005,-1,0,41.80836729999999,-87.5907567,KENWOOD
4,170313907001003,-1,0,41.8084863,-87.58845040000001,KENWOOD
4,170313906001001,-1,0,41.8087217,-87.5928222,KENWOOD
4,170313905001000,34,423,41.8087678,-87.59808509999998,KENWOOD
4,170313906001000,60,517,41.80884260000001,-87.5947506,KENWOOD
4,170313907002000,-1,0,41.8090541,-87.59191750000002,KENWOOD
4,170313907001001,-1,0,41.809318,-87.5877722,KENWOOD
4,170313907001000,-1,0,41.80967929999999,-87.5871027,KENWOOD
4,170313907001002,-1,0,41.8100348,-87.5889797,KENWOOD
4,170313901001017,3,97,41.8101607,-87.59470429999998,KENWOOD
4,170313902001006,5,158,41.8105396,-87.59807020000002,KENWOOD
4,170313901001016,10,51,41.810761600000006,-87.59553000000002,KENWOOD
4,170313901001014,1,63,41.8111662,-87.5955217,KENWOOD
4,170313901001018,-1,0,41.8115514,-87.59013879999998,KENWOOD
4,170313902001004,11,39,41.81186320000001,-87.5981001,KENWOOD
4,170313901001008,75,458,41.8120015,-87.5935554,KENWOOD
4,170313901001013,11,255,41.8121,-87.59618359999997,KENWOOD
4,170313901001009,-1,0,41.8122195,-87.5930459,KENWOOD
4,170313901001015,4,61,41.8123651,-87.59510279999998,KENWOOD
4,170313902001003,33,242,41.8124238,-87.5981014,KENWOOD
4,170313901001010,-1,0,41.81251500000001,-87.5922173,KENWOOD
4,170313901001011,-1,0,41.8128598,-87.5910167,KENWOOD
4,170313901001007,11,105,41.8132402,-87.5952563,KENWOOD
4,170313901001012,-1,0,41.81355410000001,-87.5905445,KENWOOD
4,170313902001002,9,45,41.8139375,-87.5975421,KENWOOD
4,170313902001005,63,265,41.8139415,-87.5989567,KENWOOD
4,170313902001001,5,38,41.8139529,-87.59835190000003,KENWOOD
4,170313902001000,12,220,41.8155394,-87.5986405,KENWOOD
4,170313901001006,12,68,41.81558820000001,-87.5975828,KENWOOD
4,170313901001005,8,67,41.8156982,-87.5969449,KENWOOD
4,170313901001004,3,43,41.8158364,-87.59613590000002,KENWOOD
4,170313901001003,-1,0,41.8159964,-87.5951278,KENWOOD
4,170313901001002,-1,0,41.8161221,-87.5944614,KENWOOD
4,170313901001001,-1,0,41.8162658,-87.593202,KENWOOD
4,170313902002013,2,32,41.8108314,-87.60128399999998,KENWOOD
4,170313902002011,2,36,41.8108476,-87.59972490000001,KENWOOD
4,170313902002012,5,100,41.8108482,-87.60052259999998,KENWOOD
4,170313903002017,28,363,41.8109081,-87.60294429999998,KENWOOD
4,170313903002018,13,75,41.8122019,-87.60228790000002,KENWOOD
4,170313903002016,2,73,41.8122692,-87.6062375,KENWOOD
4,170313903002014,41,526,41.8122779,-87.6051344,KENWOOD
4,170313903002007,-1,0,41.8122929,-87.604192,KENWOOD
4,170313903002008,23,298,41.8122968,-87.6034505,KENWOOD
4,170313902002010,6,154,41.8123335,-87.60054179999999,KENWOOD
4,170313903002019,-1,0,41.8128676,-87.60271709999998,KENWOOD
4,170313903002015,-1,0,41.8134288,-87.6056583,KENWOOD
4,170313903002013,-1,0,41.8140911,-87.6063466,KENWOOD
4,170313903002009,-1,0,41.8141285,-87.6028985,KENWOOD
4,170313902002006,0,47,41.8141391,-87.6014273,KENWOOD
4,170313902002007,7,67,41.8141505,-87.6008259,KENWOOD
4,170313902002008,8,91,41.8141505,-87.6003125,KENWOOD
4,170313902002009,2,17,41.8141643,-87.5997193,KENWOOD
4,170313903002012,14,290,41.8141899,-87.6051923,KENWOOD
4,170313903002003,-1,0,41.8150223,-87.60424590000002,KENWOOD
4,170313903002010,4,31,41.8152829,-87.6028684,KENWOOD
4,170313903002011,0,8,41.8153031,-87.60574079999998,KENWOOD
4,170313904002009,11,185,41.805015,-87.6040459,KENWOOD
4,170313904001006,6,50,41.8050319,-87.60196859999998,KENWOOD
4,170313904002012,14,274,41.8050478,-87.6060602,KENWOOD
4,170313905001007,3,54,41.8050534,-87.60040040000001,KENWOOD
4,170313904002011,9,91,41.80546029999999,-87.6053793,KENWOOD
4,170313904001005,2,13,41.8054808,-87.60261899999998,KENWOOD
4,170313904002006,17,258,41.8068042,-87.6061305,KENWOOD
4,170313904002007,16,253,41.8068208,-87.60504190000002,KENWOOD
4,170313904002008,-1,1,41.8068274,-87.6040652,KENWOOD
4,170313904001002,27,283,41.8068459,-87.602739,KENWOOD
4,170313905001003,7,76,41.8068732,-87.6004308,KENWOOD
4,170313904002004,-1,7,41.8081753,-87.6062528,KENWOOD
4,170313904002005,1,30,41.80818350000001,-87.6056366,KENWOOD
4,170313905001002,19,211,41.8083929,-87.6004622,KENWOOD
4,170313904001001,2,52,41.8084888,-87.6035752,KENWOOD
4,170313904001003,12,120,41.8085042,-87.60199720000001,KENWOOD
4,170313904002001,10,185,41.8086459,-87.6048358,KENWOOD
4,170313904002000,6,45,41.8086562,-87.6041233,KENWOOD
4,170313904001000,11,204,41.8088061,-87.6027784,KENWOOD
4,170313904002003,-1,8,41.8088489,-87.6056317,KENWOOD
4,170313904002002,-1,2,41.8091687,-87.6060444,KENWOOD
4,170313905001001,64,170,41.8092969,-87.6004718,KENWOOD
4,170313902002014,1,38,41.8099284,-87.6004819,KENWOOD
4,170313903001001,17,236,41.8099295,-87.6027996,KENWOOD
4,170313903001005,6,114,41.8104459,-87.6062115,KENWOOD
4,170313903001000,20,317,41.8104542,-87.6022948,KENWOOD
4,170313903001003,3,26,41.8104638,-87.6048426,KENWOOD
4,170313903001004,-1,0,41.8104652,-87.6055709,KENWOOD
4,170313903001002,3,119,41.8104783,-87.6041673,KENWOOD
4,170313906002010,41,532,41.8026778,-87.5942875,KENWOOD
4,170313907003009,-1,0,41.8026795,-87.58213070000002,KENWOOD
4,170313907003005,-1,0,41.80272479999999,-87.5824297,KENWOOD
4,170313907003012,28,381,41.8029333,-87.58591750000002,KENWOOD
4,170313906002009,0,8,41.80304810000001,-87.5953632,KENWOOD
4,170313906002008,1,21,41.8030819,-87.59322829999998,KENWOOD
4,170313907003006,94,1483,41.803176,-87.58454809999998,KENWOOD
4,170313907003003,-1,0,41.8032148,-87.58166729999998,KENWOOD
4,170313907003004,-1,0,41.80325850000001,-87.58279,KENWOOD
4,170313905001009,26,310,41.803261600000006,-87.5979363,KENWOOD
4,170313907003002,-1,0,41.80330410000001,-87.5809031,KENWOOD
4,170313907002008,14,241,41.8033342,-87.59119190000001,KENWOOD
4,170313906002007,11,190,41.8034393,-87.5942918,KENWOOD
4,170313907003007,33,448,41.8038953,-87.5859709,KENWOOD
4,170313907002006,3,16,41.8039395,-87.58949609999998,KENWOOD
4,170313906002005,6,71,41.803941,-87.5946491,KENWOOD
4,170313906002006,3,58,41.8039626,-87.59221219999998,KENWOOD
4,170313907003001,-1,0,41.803987,-87.5804272,KENWOOD
4,170313907003008,19,386,41.8040956,-87.5845855,KENWOOD
4,170313907001006,-1,0,41.80446720000001,-87.58845749999998,KENWOOD
4,170313907001014,-1,0,41.804729,-87.58348120000002,KENWOOD
4,170313907001007,26,290,41.80477310000001,-87.5874749,KENWOOD
4,170313907001016,6,116,41.8048941,-87.5860499,KENWOOD
4,170313905001006,7,74,41.805079,-87.5979673,KENWOOD
4,170313906002001,5,46,41.8050972,-87.596355,KENWOOD
4,170313906002002,4,32,41.8051054,-87.5955453,KENWOOD
4,170313906002003,1,26,41.8051135,-87.59432159999999,KENWOOD
4,170313906002004,-1,0,41.8051384,-87.5926978,KENWOOD
4,170313904001007,120,330,41.8031468,-87.6026805,KENWOOD
4,170313904002013,9,177,41.8031823,-87.6053387,KENWOOD
4,170313904002014,1,29,41.8031949,-87.60398459999998,KENWOOD
4,170313905001008,15,179,41.8032327,-87.6003592,KENWOOD
4,170313904001008,-1,0,41.8037613,-87.6025985,KENWOOD
4,170313904002010,13,134,41.804894,-87.60489190000001,KENWOOD
4,170313904001004,14,203,41.8049154,-87.6031745,KENWOOD
7,170314107001009,19,154,41.7989645,-87.59219540000002,HYDE PARK
7,170314107001005,5,113,41.7991962,-87.5958358,HYDE PARK
7,170314108001004,6,51,41.7992903,-87.5897718,HYDE PARK
7,170314108001005,-1,0,41.7993627,-87.5883968,HYDE PARK
7,170314109003003,-1,0,41.8000012,-87.58171309999999,HYDE PARK
7,170314107001003,10,182,41.80003410000001,-87.59485699999998,HYDE PARK
7,170314109003001,-1,0,41.8000868,-87.5810435,HYDE PARK
7,170314109003002,-1,0,41.800121,-87.5813452,HYDE PARK
7,170314106001002,11,201,41.8001651,-87.59897609999999,HYDE PARK
7,170314106001001,4,74,41.8001714,-87.5977948,HYDE PARK
7,170314106001000,16,220,41.8001828,-87.59702850000002,HYDE PARK
7,170314108001000,-1,0,41.8001878,-87.58806159999997,HYDE PARK
7,170314108001002,18,261,41.8002555,-87.591138,HYDE PARK
7,170314108001001,7,153,41.80033020000001,-87.589527,HYDE PARK
7,170314107001000,16,260,41.8003532,-87.59245370000002,HYDE PARK
7,170314107001001,5,106,41.8004545,-87.5935698,HYDE PARK
7,170314107001004,7,52,41.8005682,-87.5963277,HYDE PARK
7,170314107001002,3,24,41.8006795,-87.59423340000002,HYDE PARK
7,170314102001005,-1,0,41.80088370000001,-87.59485490000002,HYDE PARK
7,170314101002007,38,333,41.8009373,-87.5866033,HYDE PARK
7,170314101002006,104,821,41.80101810000001,-87.5852849,HYDE PARK
7,170314101001000,-1,0,41.8010196,-87.5873935,HYDE PARK
7,170314101002004,-1,0,41.8010304,-87.58313759999999,HYDE PARK
7,170314101001004,3,31,41.8014286,-87.5915132,HYDE PARK
7,170314101002003,-1,0,41.8015501,-87.58145970000002,HYDE PARK
7,170314101002001,-1,0,41.8015987,-87.58101690000002,HYDE PARK
7,170318363002002,41,160,41.8016232,-87.5986195,HYDE PARK
7,170318363002001,8,165,41.8016305,-87.59783420000002,HYDE PARK
7,170318363002000,11,139,41.8016481,-87.5970867,HYDE PARK
7,170314102001004,6,133,41.8016487,-87.59629090000001,HYDE PARK
7,170314102001003,10,200,41.8016532,-87.5954747,HYDE PARK
7,170314102001002,10,122,41.8016717,-87.5946789,HYDE PARK
7,170314102001001,24,283,41.8016745,-87.5938582,HYDE PARK
7,170314102001000,55,705,41.8016878,-87.5926429,HYDE PARK
7,170314101001001,17,132,41.8017134,-87.5883915,HYDE PARK
7,170314101001002,66,351,41.8017238,-87.5898167,HYDE PARK
7,170314101001003,23,134,41.8018256,-87.59102390000002,HYDE PARK
7,170314101002002,-1,0,41.8018814,-87.58127009999998,HYDE PARK
7,170314101002005,-1,0,41.8021584,-87.5826806,HYDE PARK
7,170313907001019,-1,0,41.8024628,-87.5868015,HYDE PARK
7,170313907003011,-1,0,41.8024669,-87.5845306,HYDE PARK
7,170313907003010,-1,0,41.8024981,-87.58233059999998,HYDE PARK
7,170314105001011,3,33,41.7958888,-87.6030085,HYDE PARK
7,170314105001010,12,148,41.7959009,-87.602367,HYDE PARK
7,170314105001009,8,118,41.79590770000001,-87.6016054,HYDE PARK
7,170314105002005,4,55,41.7961463,-87.6041896,HYDE PARK
7,170314105001005,7,109,41.796614700000006,-87.6035823,HYDE PARK
7,170314105002007,1,44,41.7966248,-87.605327,HYDE PARK
7,170314106002004,3,61,41.7968107,-87.60025999999998,HYDE PARK
7,170314105001006,26,87,41.7971902,-87.6030526,HYDE PARK
7,170314105001007,43,218,41.7971994,-87.6020129,HYDE PARK
7,170314106002005,15,147,41.7972527,-87.60087920000002,HYDE PARK
7,170314106002003,7,89,41.7973465,-87.599315,HYDE PARK
7,170314105002008,32,337,41.7976318,-87.6057435,HYDE PARK
7,170314105002003,8,79,41.7977197,-87.60480190000001,HYDE PARK
7,170314105002004,8,130,41.7977368,-87.6042077,HYDE PARK
7,170314105002002,3,28,41.7984343,-87.60542070000002,HYDE PARK
7,170314105001004,7,59,41.7986408,-87.60363029999998,HYDE PARK
7,170314105001003,3,65,41.79865170000001,-87.6030822,HYDE PARK
7,170314106001005,16,134,41.7986731,-87.6008939,HYDE PARK
7,170314106001006,96,163,41.7986814,-87.600114,HYDE PARK
7,170314106001007,15,45,41.7986877,-87.59932859999998,HYDE PARK
7,170314105001000,5,131,41.799158,-87.6019647,HYDE PARK
7,170314105002000,102,528,41.79950520000001,-87.60512729999998,HYDE PARK
7,170314105001002,12,216,41.8001139,-87.60338459999998,HYDE PARK
7,170314106001004,21,182,41.8001341,-87.6009303,HYDE PARK
7,170314106001003,10,134,41.8001554,-87.6001392,HYDE PARK
7,170314105002001,0,17,41.8001674,-87.60520090000001,HYDE PARK
7,170314105001001,4,88,41.8002426,-87.6024512,HYDE PARK
7,170318363001006,2,50,41.8006717,-87.6051534,HYDE PARK
7,170318363001005,0,29,41.80114879999999,-87.60516679999998,HYDE PARK
7,170318363001002,7,132,41.8015678,-87.60341590000002,HYDE PARK
7,170318363001004,1,2,41.80157310000001,-87.6050396,HYDE PARK
7,170318363001000,5,44,41.8015812,-87.6017142,HYDE PARK
7,170318363001001,9,181,41.8015824,-87.6024913,HYDE PARK
7,170318363002005,10,106,41.8015983,-87.60096490000002,HYDE PARK
7,170318363002004,23,99,41.8016034,-87.60017619999998,HYDE PARK
7,170318363002003,17,102,41.801614,-87.5993974,HYDE PARK
7,170318363001003,7,79,41.8019844,-87.60525729999998,HYDE PARK
7,170314112001006,1,45,41.7938908,-87.5928707,HYDE PARK
7,170314112001007,21,201,41.7938963,-87.5920518,HYDE PARK
7,170314112001003,4,65,41.7940179,-87.5953061,HYDE PARK
7,170314111001003,9,249,41.7940586,-87.5909808,HYDE PARK
7,170314110003003,3,17,41.79406760000001,-87.5868958,HYDE PARK
7,170318362001001,2,253,41.7941381,-87.5989449,HYDE PARK
7,170318362001000,2,174,41.794158,-87.5973356,HYDE PARK
7,170314112001001,15,322,41.7941676,-87.5941181,HYDE PARK
7,170314112001002,1,43,41.7942857,-87.59598270000002,HYDE PARK
7,170314110001003,44,443,41.7943136,-87.58200090000003,HYDE PARK
7,170314111001001,2,33,41.794343100000006,-87.58806070000001,HYDE PARK
7,170314111001002,8,172,41.79434620000001,-87.5894951,HYDE PARK
7,170314110001002,49,423,41.7945589,-87.580984,HYDE PARK
7,170314110003002,13,140,41.79456010000001,-87.58605440000002,HYDE PARK
7,170314110001000,-1,0,41.7945611,-87.5787275,HYDE PARK
7,170314110001001,-1,0,41.7945749,-87.5799943,HYDE PARK
7,170314110003001,36,411,41.794588,-87.58465759999999,HYDE PARK
7,170314110003000,18,218,41.7947248,-87.5832299,HYDE PARK
7,170314112001000,5,67,41.7947277,-87.5926131,HYDE PARK
7,170314108002008,31,363,41.7950044,-87.59076379999998,HYDE PARK
7,170314108002009,-1,0,41.7951652,-87.59291329999998,HYDE PARK
7,170314106002008,-1,0,41.7952069,-87.59886,HYDE PARK
7,170314111001000,-1,0,41.7952645,-87.5885536,HYDE PARK
7,170314108002006,23,351,41.7953353,-87.5907598,HYDE PARK
7,170314109003016,5,50,41.795518,-87.5813453,HYDE PARK
7,170314109003017,2,21,41.7955283,-87.58219809999999,HYDE PARK
7,170314108002007,2,33,41.7956523,-87.5910564,HYDE PARK
7,170314106002007,0,15,41.7957912,-87.5977128,HYDE PARK
7,170314106002006,6,76,41.7958028,-87.59694920000003,HYDE PARK
7,170314109002002,24,306,41.7958808,-87.58597309999998,HYDE PARK
7,170314108002005,2,15,41.795889,-87.5882807,HYDE PARK
7,170314109003014,15,170,41.79591729999999,-87.585063,HYDE PARK
7,170314109003015,18,216,41.7959319,-87.5843453,HYDE PARK
7,170314107001012,5,142,41.7960659,-87.5959063,HYDE PARK
7,170314108002004,21,227,41.7960714,-87.589711,HYDE PARK
7,170314108002003,35,92,41.7961662,-87.5910172,HYDE PARK
7,170314109003006,-1,0,41.79627429999999,-87.58014990000002,HYDE PARK
7,170314106002002,10,132,41.7964565,-87.5987756,HYDE PARK
7,170314107001013,20,462,41.7966109,-87.5926134,HYDE PARK
7,170314109003010,24,267,41.7966455,-87.5829316,HYDE PARK
7,170314109003011,26,295,41.7966916,-87.5836325,HYDE PARK
7,170314109003007,-1,0,41.7966967,-87.57807740000001,HYDE PARK
7,170314109003008,20,216,41.7967492,-87.58182159999998,HYDE PARK
7,170314107001010,5,116,41.7968281,-87.59537420000002,HYDE PARK
7,170314109003009,-1,0,41.7972212,-87.5824944,HYDE PARK
7,170314106002001,17,210,41.79724210000001,-87.5977237,HYDE PARK
7,170314106002000,13,200,41.79725850000001,-87.596969,HYDE PARK
7,170314108002002,9,123,41.79731829999999,-87.5910649,HYDE PARK
7,170314108002001,70,237,41.7973253,-87.5897021,HYDE PARK
7,170314108002000,17,214,41.797328,-87.5881465,HYDE PARK
7,170314109003013,9,95,41.7973736,-87.5850916,HYDE PARK
7,170314109003012,18,202,41.7973853,-87.5843747,HYDE PARK
7,170314109002001,-1,0,41.7973997,-87.58720770000002,HYDE PARK
7,170314109003005,-1,0,41.79745689999999,-87.5801838,HYDE PARK
7,170314107001008,59,170,41.79756550000001,-87.5939586,HYDE PARK
7,170314109002000,30,264,41.7977156,-87.5863367,HYDE PARK
7,170314107001011,5,121,41.7977284,-87.5957892,HYDE PARK
7,170314109003004,-1,0,41.7983938,-87.5815588,HYDE PARK
7,170314107001006,2,154,41.7984564,-87.5962179,HYDE PARK
7,170314107001007,46,98,41.7984638,-87.5954064,HYDE PARK
7,170314108001008,10,210,41.7985517,-87.58974090000002,HYDE PARK
7,170314108001007,6,165,41.7986499,-87.58842170000001,HYDE PARK
7,170314106001008,3,64,41.79870560000001,-87.5985622,HYDE PARK
7,170314106001009,5,24,41.798713,-87.59777700000002,HYDE PARK
7,170314106001010,5,72,41.7987138,-87.5969932,HYDE PARK
7,170314108001003,14,167,41.7987887,-87.5910963,HYDE PARK
7,170314108001006,-1,0,41.7988172,-87.5875061,HYDE PARK
7,170314109001002,71,417,41.7988654,-87.5847652,HYDE PARK
7,170314109001001,31,86,41.79889050000001,-87.5836932,HYDE PARK
7,170314109001000,30,233,41.7988976,-87.58281540000002,HYDE PARK
7,170314111002010,-1,0,41.7862354,-87.5884921,HYDE PARK
7,170314112002012,-1,0,41.7863058,-87.59390909999998,HYDE PARK
7,170314111002009,-1,0,41.7863283,-87.59092609999998,HYDE PARK
7,170314110002006,-1,0,41.7865344,-87.58504609999999,HYDE PARK
7,170314110002004,-1,0,41.7865448,-87.5831306,HYDE PARK
7,170314110002002,-1,0,41.7867765,-87.5790438,HYDE PARK
7,170318362001024,-1,0,41.7868484,-87.5987748,HYDE PARK
7,170314112002011,-1,0,41.7869024,-87.59392259999998,HYDE PARK
7,170314111002008,-1,0,41.7869583,-87.59086090000002,HYDE PARK
7,170314111002007,-1,0,41.7869891,-87.5896316,HYDE PARK
7,170314111002006,-1,0,41.7869917,-87.5878973,HYDE PARK
7,170314110002012,-1,0,41.787008,-87.5858058,HYDE PARK
7,170314110002003,-1,0,41.7871534,-87.5819524,HYDE PARK
7,170314110002001,-1,0,41.78722120000001,-87.5775468,HYDE PARK
7,170318362001020,-1,0,41.7874939,-87.59879959999998,HYDE PARK
7,170314112002010,-1,0,41.7875424,-87.59393409999998,HYDE PARK
7,170314111002004,-1,0,41.7875958,-87.5908739,HYDE PARK
7,170314111002005,-1,0,41.7877713,-87.5884667,HYDE PARK
7,170314110002005,-1,0,41.7878284,-87.5843625,HYDE PARK
7,170314110001011,-1,0,41.788279,-87.58166659999998,HYDE PARK
7,170314110001010,-1,0,41.7885669,-87.5800487,HYDE PARK
7,170318362001019,-1,1,41.7887053,-87.5972035,HYDE PARK
7,170314112002005,-1,0,41.7887219,-87.5955807,HYDE PARK
7,170314112002006,-1,0,41.78874920000001,-87.5931574,HYDE PARK
7,170314111002003,34,512,41.7887503,-87.5908623,HYDE PARK
7,170314110002010,45,509,41.7895663,-87.5876085,HYDE PARK
7,170314110002007,-1,0,41.7896114,-87.5859752,HYDE PARK
7,170314111002000,46,294,41.7897214,-87.5896095,HYDE PARK
7,170314112002007,1,13,41.7899282,-87.59193570000002,HYDE PARK
7,170314110002011,2,50,41.7901912,-87.58870340000001,HYDE PARK
7,170314112002008,3,81,41.7903127,-87.59440140000002,HYDE PARK
7,170314110002008,-1,0,41.7903133,-87.5829365,HYDE PARK
7,170314112002009,3,107,41.7903216,-87.5935897,HYDE PARK
7,170314111002001,61,287,41.7904819,-87.59083079999998,HYDE PARK
7,170318362001016,0,13,41.7905233,-87.5976514,HYDE PARK
7,170318362001015,13,25,41.7905325,-87.59684320000002,HYDE PARK
7,170314112002004,1,19,41.7905339,-87.59602240000002,HYDE PARK
7,170314112002003,6,101,41.7905516,-87.5952287,HYDE PARK
7,170314112002000,55,189,41.7906839,-87.59245849999998,HYDE PARK
7,170314110001009,-1,0,41.7907087,-87.5799298,HYDE PARK
7,170314110001008,-1,0,41.7907507,-87.5788377,HYDE PARK
7,170314111002002,2,33,41.791198,-87.5913593,HYDE PARK
7,170314112002002,3,27,41.7912203,-87.59442109999998,HYDE PARK
7,170314112002001,1,29,41.7912335,-87.5936149,HYDE PARK
7,170314110001007,-1,0,41.7916141,-87.58182640000003,HYDE PARK
7,170314110002009,-1,0,41.7917276,-87.5808377,HYDE PARK
7,170314110001006,-1,0,41.7921566,-87.5812574,HYDE PARK
7,170314111001008,2,47,41.7922001,-87.5892554,HYDE PARK
7,170314111001010,-1,0,41.7922399,-87.58816440000003,HYDE PARK
7,170314110003008,-1,0,41.7922855,-87.5846839,HYDE PARK
7,170314111001009,0,46,41.79234260000001,-87.5886057,HYDE PARK
7,170318362001013,27,134,41.7923431,-87.59769279999998,HYDE PARK
7,170318362001014,12,16,41.7923506,-87.5968792,HYDE PARK
7,170314112001009,12,59,41.7923652,-87.59608320000002,HYDE PARK
7,170314112001004,4,65,41.79237020000001,-87.5952643,HYDE PARK
7,170314112001005,6,107,41.7923906,-87.5936491,HYDE PARK
7,170314112001008,13,100,41.7924047,-87.5920217,HYDE PARK
7,170314110003006,-1,0,41.7924089,-87.5872879,HYDE PARK
7,170314111001004,11,289,41.7924198,-87.5909479,HYDE PARK
7,170314110003005,-1,0,41.7924626,-87.58793709999998,HYDE PARK
7,170314110003012,-1,0,41.792542,-87.5829817,HYDE PARK
7,170314111001005,6,98,41.7925448,-87.5897981,HYDE PARK
7,170314110003007,-1,0,41.792656,-87.5855488,HYDE PARK
7,170314110001004,-1,0,41.7929934,-87.5811108,HYDE PARK
7,170314110003011,-1,0,41.7930463,-87.582983,HYDE PARK
7,170314111001007,2,19,41.7931986,-87.588502,HYDE PARK
7,170314110001005,25,333,41.79362860000001,-87.5808844,HYDE PARK
7,170314110003009,24,320,41.7936888,-87.5846566,HYDE PARK
7,170314111001006,2,53,41.793801,-87.5889935,HYDE PARK
7,170314110003010,37,445,41.793822,-87.5832126,HYDE PARK
7,170318362001026,-1,0,41.7861729,-87.6036232,HYDE PARK
7,170318362001025,-1,0,41.7867999,-87.60363620000003,HYDE PARK
7,170318362001021,-1,0,41.7874382,-87.6036469,HYDE PARK
7,170318362001022,-1,0,41.7886014,-87.60551679999998,HYDE PARK
